id,file,line,summary
MEAT-0137,books/symbolic-language/04-sign-of-jonah.adoc,24,Superseded: centralize Claude estimate note after 'How the sign of Jonah is usually taught'.
MEAT-0138,books/symbolic-language/04-sign-of-jonah.adoc,61,Superseded: centralize Claude estimate note after 'How “the heart of the earth” is usually read (Matt. 12:40)'.
MEAT-0139,books/symbolic-language/19-the-fool-and-the-wise.adoc,100,Superseded: centralize Claude estimate note after 'How the “oil” is usually read (ten virgins)'.
MEAT-0140,books/symbolic-language/38-mountain.adoc,85,Superseded: centralize Claude estimate note after 'How the “mountain” is usually read (Rev. 8:8)'.
MEAT-0141,books/symbolic-language/38-mountain.adoc,123,Superseded: centralize Claude estimate note after 'How the “mountain” Jesus moves is usually read'.
MEAT-0142,books/symbolic-language/38-mountain.adoc,147,Superseded: centralize Claude estimate note after 'How the “mountains” are usually read (Ps. 46)'.
MEAT-0143,books/symbolic-language/39-sea-and-waters.adoc,89,Superseded: centralize Claude estimate note after 'How the “sea and waves roaring” is usually read (Luke 21:25)'.
MEAT-0144,books/symbolic-language/39-sea-and-waters.adoc,276,Superseded: centralize Claude estimate note after 'How the witnesses’ power is usually read (Rev. 11:6)'.
MEAT-0145,books/symbolic-language/39-sea-and-waters.adoc,417,Superseded: centralize Claude estimate note after 'How the stilling of the storm is usually taught (Mark 4:39)'.
MEAT-0146,books/symbolic-language/39-sea-and-waters.adoc,530,Superseded: centralize Claude estimate note after 'How “no more sea” is usually read (Rev. 21:1)'.
MEAT-0147,books/symbolic-language/44-jacob-israel-and-ephraim.adoc,22,Superseded: centralize Claude estimate note after 'How Jacob’s change to Israel is usually read'.
