id,file,line,type,summary
MEAT-0201,books/symbolic-language/03-signs-and-similitudes.adoc,209,metaphor-load,Remove lens metaphor before the Israel-as-similitude turn.
MEAT-0202,books/symbolic-language/23-path-to-salvation.adoc,192,grammar-clarity,Replace clunky “also known as” sentence after John 5:14.
MEAT-0203,books/symbolic-language/34-the-fall-of-babylon.adoc,49,bad-metaphor,Tame the “out-devours the devourers” metaphor.
MEAT-0204,books/symbolic-language/39-sea-and-waters.adoc,313,presenter-tone,Replace a lesson-cue with the actual claim.
MEAT-0205,books/symbolic-language/02-the-parables-of-the-kingdom.adoc,350,rough-transition,Smooth “make of its reader” phrasing.
MEAT-0206,books/symbolic-language/12-wings.adoc,206,rough-transition,Make the Wings chapter handoff more concrete.
MEAT-0207,books/symbolic-language/10-the-coin.adoc,137,long-sentence,Split the tabernacle-socket sentence in the Coin chapter.
MEAT-0208,books/symbolic-language/14-the-remnant.adoc,115,long-sentence,Split the field-edge math sentence.
MEAT-0209,books/symbolic-language/14-the-remnant.adoc,333,long-sentence,Break the print-edition remnant evidence chain into three sentences.
MEAT-0210,books/symbolic-language/17-justice-and-judgment.adoc,156,long-sentence,Split the Judgment Day explanation before James 2:12.
MEAT-0211,books/symbolic-language/21-worship.adoc,133,long-sentence,Split the worship-at-appointed-times proof chain.
MEAT-0212,books/symbolic-language/38-mountain.adoc,167,long-sentence,Split the shachar explanation in the Mountain chapter.
MEAT-0213,books/symbolic-language/30-the-pearl.adoc,191,long-sentence,Split the throne/full-moon explanation at the chapter handoff.
