file,reason,old
books/symbolic-language/00-copyright.adoc,ambiguous match,MEAT The Bible's Symbolic Language
books/symbolic-language/01-introduction.adoc,duplicate-prior,But first we must prepare the ground by explaining the difference between a word and a symbol.
books/symbolic-language/01-introduction.adoc,duplicate-prior,"Now go back to the synagogue at Capernaum, where this book began — and notice that Jesus began with sym:sym-bread[bread]"
books/symbolic-language/01-introduction.adoc,duplicate-prior,"Mark that distinction, because the common teaching runs exactly backwards."
books/symbolic-language/02-the-parables-of-the-kingdom.adoc,duplicate-prior,"Now derive what the thorns *mean*, for the Old Testament assigns that too."
books/symbolic-language/03-signs-and-similitudes.adoc,duplicate-prior,"Now widen the lens all the way, because the master similitude is Israel herself."
books/symbolic-language/08-the-name.adoc,duplicate-prior,"Notice that God, answering, plays on David’s own word — for a __“house”__ in Scripture is a building _and_ a family line"
books/symbolic-language/14-orphans-widows-and-the-fatherless.adoc,old not found,"Read the camel and the needle as a statement about money, and Scripture contradicts itself on its face: Abraham was __“v"
books/symbolic-language/15-the-remnant.adoc,duplicate-prior,Weigh the chapter the way the evidence is built.
books/symbolic-language/15-the-remnant.adoc,duplicate-prior,The most demonstratively religious one percent was not enough — hold that word __“exceed”__; the Hebrew of the remnant w
books/symbolic-language/15-the-remnant.adoc,ambiguous match,"The land was sized for the remnant, and the remnant for the land.
endif::[]"
books/symbolic-language/16-heaven-and-hell.adoc,old not found,"Now comes the silence that should end the argument.

Deuteronomy 28 is God's own catalogue of covenant curses — fifty-fo"
books/symbolic-language/16x-weeping-and-gnashing.adoc,duplicate-prior,Now walk the seven texts and mark who is cast out — for it is never the heathen:
books/symbolic-language/22-worship.adoc,duplicate-prior,"Now consider the first time the word appears in the Bible, because Scripture’s first use of a word is a teacher."
books/symbolic-language/24-path-to-salvation.adoc,duplicate-prior,Now watch what the formula leaves out.
books/symbolic-language/31-the-pearl.adoc,duplicate-prior,Weigh them all; the reading asks no favors.
books/symbolic-language/32-the-sabbath.adoc,duplicate-prior,"Read the commandment again with the unit in view, and notice that it legislates all seven days:"
books/symbolic-language/32-the-sabbath.adoc,duplicate-prior,Notice what the continuous week does to the law's own grammar.
books/symbolic-language/33-time-tested-tradition.adoc,duplicate-prior,"Before weighing the evidence, weigh the witnesses, for Scripture itself commands it."
books/symbolic-language/35-the-fall-of-babylon.adoc,duplicate-prior,And mark what an almond *is*: a fruit that is itself a sym:sym-seed[seed] — and __“the seed is the *word of God*”__ (Luk
books/symbolic-language/36-daniel-unsealed.adoc,duplicate-prior,Now read the whole verse the second time through:
books/symbolic-language/39-mountain.adoc,duplicate-prior,Now consider this poetic picture from Joel:
books/symbolic-language/40-sea-and-waters.adoc,duplicate-prior,Notice that this is the very same chapter that defined the mountain (Revelation 17:9-10).
books/symbolic-language/41x-the-parable-of-the-vineyard.adoc,old not found,Genesis dressed Judah in garments washed in the blood of grapes; the Treader wears the samewardrobe with the other vinta
