file,line,trigger,text
books/symbolic-language/01-introduction.adoc,50,through the lens,"When you read scripture, you read its words through the lens of your own private dictionary and personal associations."
books/symbolic-language/01-introduction.adoc,271,failure mode,"That is milk's failure mode, lived out — they received, and never chewed."
books/symbolic-language/02-the-parables-of-the-kingdom.adoc,39,weigh what,"Next, weigh what you gathered before you lean on it."
books/symbolic-language/02-the-parables-of-the-kingdom.adoc,44,Mark what,Mark what has changed between their seat and yours.
books/symbolic-language/02-the-parables-of-the-kingdom.adoc,45,corpus,"The disciple on the shore had his memory and the weekly reading; you have the whole corpus searchable in a breath — a concordance, a search bar, an AI that can sweep every use of a word while you frame your next question."
books/symbolic-language/02-the-parables-of-the-kingdom.adoc,266,mark what,"Disciples do forsake all — Peter says so five verses later and is not corrected (Matthew 19:27), and __“whosoever he be of you that forsaketh not all that he hath, he cannot be my disciple”__ (Luke 14:33) — but mark what no disciple ever did: buy the field."
books/symbolic-language/03-signs-and-similitudes.adoc,76,mark what,But mark what happened on the day the sign was given: nothing.
books/symbolic-language/04-sign-of-jonah.adoc,85,Read that,"Read that way, __“the Son of man… three days and three nights in the heart of the earth”__ is, first of all, three days and three nights in Jerusalem — taken into the city under arrest, and out of it again on the third day."
books/symbolic-language/04-sign-of-jonah.adoc,263,Now watch,Now watch the fulfillment.
books/symbolic-language/04-sign-of-jonah.adoc,324,Weigh what,Weigh what the sign proves.
books/symbolic-language/05-gospel.adoc,280,corpus,But as a definition it fails the corpus.
books/symbolic-language/06-knowing-faith-love-and-belief.adoc,192,read that,Now read that famous verse whole:
books/symbolic-language/08-the-name.adoc,267,Now watch,"Now watch how the true marriage is enacted, because the mechanics carry the meaning."
books/symbolic-language/09-the-seal.adoc,92,Mark what,"Mark what this makes of the sixth-seal scene, for the winds and the sealing are one element."
books/symbolic-language/11-marriage-and-divorce.adoc,102,Hold that,Hold that no-return rule; the whole gospel will hang on it before this chapter ends.
books/symbolic-language/11-marriage-and-divorce.adoc,183,paperwork,"The bill of divorce is the exile — the wife sent __“out of his house,”__ scattered among the nations — and God holds the paperwork up to her children (Isaiah 50:1)."
books/symbolic-language/13-orphans-widows-and-the-fatherless.adoc,32,This is the turn,This is the turn.
books/symbolic-language/14-the-remnant.adoc,88,Now watch,Now watch every other line of evidence come in on the same mark.
books/symbolic-language/14-the-remnant.adoc,189,Read that,"Read that last row again, because it turns the whole hard saying inside out."
books/symbolic-language/14-the-remnant.adoc,250,hold that,The most demonstratively religious one percent was not enough — hold that word __“exceed”__; the Hebrew of the remnant will hand it back to us shortly.
books/symbolic-language/16-shadow.adoc,42,Now watch,Now watch whose shadow the righteous live in.
books/symbolic-language/18-liberty.adoc,144,sales pitch,"The offer of freedom from God’s rule is the serpent’s original sales pitch, and it has never once delivered: the man who escapes the law of liberty does not walk free, he walks back into the slaver’s house."
books/symbolic-language/19-the-fool-and-the-wise.adoc,52,Hold that,"Hold that, and the parable of the ten virgins opens, for it is built of symbols already defined."
books/symbolic-language/22-the-fear-of-the-lord.adoc,101,Weigh what,Weigh what the feared man actually is:
