file,line,text
books/symbolic-language/01-introduction.adoc,51,"Those associations include not just the Webster's meaning but the slang meaning — and, for many who grew up in church, the taught “seminary meaning.”"
books/symbolic-language/01-introduction.adoc,100,"The serpent's first recorded words are an attack not on the text but on its meaning — __“Yea, hath God said?”__ (Genesis 3:1) — and that has been the strategy ever since: what cannot be deleted can be re-glossed."
books/symbolic-language/01-introduction.adoc,106,"Scripture's symbols are built the same way: the meaning of a symbol is not stored in its label but established by every place the word is used and every word it stands beside, line upon line, across the whole of the text."
books/symbolic-language/01-introduction.adoc,230,"Bread is the word: __“man doth not live by bread only, but by *every word* that proceedeth out of the mouth of the LORD”__ (Deuteronomy 8:3; Matthew 4:4)."
books/symbolic-language/02-the-parables-of-the-kingdom.adoc,21,And the Scriptures the disciples grew up on do not merely contain parables — they decode them in front of the reader and expect him to grade himself.
books/symbolic-language/02-the-parables-of-the-kingdom.adoc,46,"Recall was never the point of the exam, and now it is not even the obstacle: the test is not whether you remember the matches, but whether you go look for them."
books/symbolic-language/02-the-parables-of-the-kingdom.adoc,266,"Disciples do forsake all — Peter says so five verses later and is not corrected (Matthew 19:27), and __“whosoever he be of you that forsaketh not all that he hath, he cannot be my disciple”__ (Luke 14:33) — but mark what no disciple ever did: buy the field."
books/symbolic-language/02-the-parables-of-the-kingdom.adoc,327,"The next day the same crowd hunts Him down, and He tells them what they missed: __“Ye seek me, not because ye saw the sym:sym-sign[signs], but because ye did *eat of the loaves*, and were filled”__ (John 6:26) — they had eaten the sign without reading it."
books/symbolic-language/02-the-parables-of-the-kingdom.adoc,350,"That is what this book set out to make of its reader: not a keeper of our conclusions but a scribe instructed — one who can take a text he has never been taught, derive it from what Scripture itself defined, mark honestly what remains under test, and go gather the uses."
books/symbolic-language/03-signs-and-similitudes.adoc,192,"That is a similitude: not a story about the truth, but the truth rehearsed."
books/symbolic-language/03-signs-and-similitudes.adoc,203,She did not merely survive; she entered the line of the Messiah (Matthew 1:5).
books/symbolic-language/03-signs-and-similitudes.adoc,205,"Clement of Rome, writing while men who knew the apostles still lived, says the spies gave her __“a sign… a scarlet thread, thereby showing beforehand that through the blood of the Lord there shall be redemption unto all them that believe,”__ and draws the conclusion for us: __“not only faith, but prophecy, is found in the woman”__ (1 Clement 12)."
books/symbolic-language/04-sign-of-jonah.adoc,126,On Passover night He fulfilled the casting too — not as the stiller of the storm but as the man given to it:
books/symbolic-language/04-sign-of-jonah.adoc,241,So the sign of Jonah is not only the Passion; it is the gospel going out to the nations after the resurrection.
books/symbolic-language/05-gospel.adoc,64,"Not __“accept this fact,”__ but __“repent ye, and believe”__ — turn, trust, and obey; for to sym:sym-belief[believe], as the link:/books/symbolic-language/knowing-faith-love-and-belief/[Love, Knowing, Faith, and Belief] chapter will prove, is to obey."
books/symbolic-language/05-gospel.adoc,116,"The gospel is the message Jesus _taught_, not merely the message _about_ Jesus."
books/symbolic-language/05-gospel.adoc,181,The fault lay not with the covenant but with the people — __“my covenant they brake.”__
books/symbolic-language/05-gospel.adoc,194,"Jesus did not come to abolish the law, nor to complete it and retire it, but to fill it full — to preach it in its fullness, packing back the weight the surface reading had drained away."
books/symbolic-language/05-gospel.adoc,198,"_This_ is the message Jesus taught — not a new religion about Himself, but the ancient covenant of the kingdom, renewed and written on the heart."
books/symbolic-language/05-gospel.adoc,225,"That is what sym:sym-belief[believe] means in Scripture’s mouth: not thinking a thing true, but trusting enough to obey."
books/symbolic-language/05-gospel.adoc,285,"Read it as Scripture defines it, and the turning of the nations that closed the last chapter stands revealed for what it is: not the spread of information about a man, but the kingdom of God going forth to fill the earth."
books/symbolic-language/05x-the-disciple.adoc,77,He kept the law — perfectly: __“Which of you convinceth me of sin?”__ (John 8:46); not to destroy but to fulfil (Matthew 5:17).
books/symbolic-language/06-knowing-faith-love-and-belief.adoc,93,"__“Love *does not envy*”__ — the tenth commandment kept; __“does not seek its own… thinks no *evil*”__ — no ill worked to a neighbor; __“does not rejoice in *lawlessness*, but rejoices in the sym:sym-truth[truth]”__ — and __“thy *law* is the truth”__ (Psalm 119:142)."
books/symbolic-language/06-knowing-faith-love-and-belief.adoc,182,"Scripture keeps the pattern consistently: hope's object is unseen by definition — __“hope that is *seen* is not hope… but if we hope for that we see not, then do we with *patience* wait for it”__ (Romans 8:24-25) — and the patience is faithfulness holding while the thing stays out of sight."
books/symbolic-language/07-the-way-the-truth-and-the-life.adoc,20,"But He has named _three_ things, not one, each a word Scripture has already filled with meaning; and the small word fastened to each is _the_ — not _a_ way, _a_ truth, _a_ life, but _the_, the particular one God defines."
books/symbolic-language/07-the-way-the-truth-and-the-life.adoc,31,"So a person’s __“way”__ is not where they are headed but _how they go_ — their conduct, their manner of life."
books/symbolic-language/07-the-way-the-truth-and-the-life.adoc,51,"Which is why the first followers of Jesus were not called Christians but were known, simply, as __“the Way”__ — and when Paul was charged with belonging to it, here is how he owned the name:"
books/symbolic-language/07-the-way-the-truth-and-the-life.adoc,73,"Not __“thy law is true,”__ but __“thy law _is_ the truth”__ — the standard itself, the measure by which everything else is weighed."
books/symbolic-language/07-the-way-the-truth-and-the-life.adoc,97,"The life _was_ the light — and light is a defined symbol with link:/books/symbolic-language/light-and-darkness/[its own chapter ahead]: not truth in the abstract, but the law lived where men can see it (Matthew 5:16).footnote:fn07light516[Derived in the link:/books/symbolic-language/light-and-darkness/[Light and Darkness] chapter.]"
books/symbolic-language/07-the-way-the-truth-and-the-life.adoc,99,The life does not merely exist; it shows.
books/symbolic-language/07-the-way-the-truth-and-the-life.adoc,133,"It must be _prepared_: __“make straight in the desert a highway for our God”__ (Isaiah 40:3) — not a work of shovels but of repentance, the cry John the Baptist took up, clearing the obstacles off the covenant road."
books/symbolic-language/07-the-way-the-truth-and-the-life.adoc,177,Set the three side by side and they are not separate claims but one reality seen from three angles.
books/symbolic-language/07-the-way-the-truth-and-the-life.adoc,192,It does not mean to _bar_ the way but to _preserve_ it.
books/symbolic-language/07-the-way-the-truth-and-the-life.adoc,232,"Not a new road to God, but the original road, walked perfectly and thrown open."
books/symbolic-language/08-the-name.adoc,33,"To ask __“in my name”__ is not to invoke a syllable but to ask _as one who belongs to Him_ — within His will, on His terms, inside the relationship."
books/symbolic-language/08-the-name.adoc,101,"David offered to build God a house of stone; God replies, __“the LORD telleth thee that *he will make thee an house*”__ (2 Samuel 7:11) — not cedar but sons: the house _of David_."
