words,file,approx_line,sentence
216,books/symbolic-language/14-the-remnant.adoc,324,"The olive tree beaten at harvest keeps *two or three berries* of its tens of thousands (Isaiah 17:6; 24:13); the righteous man is priced above the gold of Ophir while the mass of the house runs to dross (Isaiah 13:12; Ezekiel 22:18); the remnant stands among the nations as the sym:sym-lion[lion] among the beasts of the forest — apex in authority, one or two per thousand in count (Micah 5:8); Job's great household died down to four lone messengers and the man himself (Job 1); Josephus counts six thousand Pharisees in a nation of a million, and Jesus set the bar *above* them (Matthew 5:20); Micaiah stood one against four hundred court prophets (1 Kings 22:6); Moses said it without a figure at all — __“ye were the *fewest of all people*”__ (Deuteronomy 7:7); and 2 Esdras answers our very question: __“The most High hath made this world for many, but the world to come for few.”__ Methods with no way to coordinate with one another — census arithmetic, stated ratios, orchard facts, field geometry, land capacity, ore grades, animal populations, household counts, sect rosters — and every one lands in the same band: *a fraction of one percent, centering near one in five hundred*."
135,books/symbolic-language/21-worship.adoc,132,"Throughout Scripture, worship is a thing men __“go up”__ to do at appointed times: Elkanah __“went up out of his city *yearly* to worship and to sacrifice unto the LORD of hosts in Shiloh”__ (1 Samuel 1:3); the firstfruits are set down before the altar, __“and worship”__ (Deuteronomy 26:10); Greeks __“came up to *worship at the feast*”__ (John 12:20); the Ethiopian eunuch __“had come to Jerusalem for to worship”__ (Acts 8:27); Paul __“went up to Jerusalem for to worship”__ (Acts 24:11) — and then defines the act for the governor: __“so *worship* I the God of my fathers, sym:sym-belief[believing] all things which are written in the *law* and in the prophets”__ (Acts 24:14)."
128,books/symbolic-language/17-justice-and-judgment.adoc,154,"link:/books/symbolic-language/the-fear-of-the-lord/[Solomon ends his book] on the two clauses this book keeps finding joined — sym:sym-fear[fear] God, and keep his commandments (Ecclesiastes 12:13) — and then: __“For God shall bring every work into *judgment*”__ (Ecclesiastes 12:14).footnote:fn14ecc1213[Solomon's conclusion of the whole matter is derived in the chapter link:/books/symbolic-language/the-fear-of-the-lord/[The Fear of the Lord].] The judgment men fear as an alien terror is nothing but the rulings they were handed at Sinai, applied at last by the Judge who wrote them — __“So speak ye, and so do, as they that shall be judged by the *law of* sym:sym-liberty[liberty]”__ (James 2:12)."
127,books/symbolic-language/39-sea-and-waters.adoc,485,"ifndef::print-edition[] The two are joined by the sym:sym-cloud[cloud] — water drawn up out of the sea below into the heavens above, and, in the symbol, a multitude link:/books/symbolic-language/clouds/[drawn up out of the peoples].footnote:fn34cloudrise[Derived in the link:/books/symbolic-language/clouds/[Clouds] chapter.] endif::[] ifdef::print-edition[] The two are joined by the sym:sym-cloud[cloud] — water drawn up out of the sea below into the heavens above, and, in the symbol, a multitude drawn up out of the peoples.footnote:fn34cloudrise[Derived in the Clouds study, in the digital edition at https://TimeTested.Bible[TimeTested.Bible].] endif::[] Jeremiah tells us — twice, word for word (Jeremiah 10:13; 51:16) — how the drawing up works:"
126,books/symbolic-language/14-the-remnant.adoc,108,"The corners of the sym:sym-field[field] may not be wholly reaped; they are left standing for the sym:sym-poor[poor] and the sym:sym-stranger[stranger] (Leviticus 19:9-10) — and __“corners”__ is _pe'ah_, link:/books/symbolic-language/wings/[the reserved edge].footnote:fn12peah[The reserved edge — _kanaph_ on the garment, _pe'ah_ in the field — is derived in the link:/books/symbolic-language/wings/[Wings] chapter.] The edge of a field is fixed by mathematics: grain is sown in rows a handbreadth apart, and the perimeter row's share of the crop *shrinks as the field grows* — on the working farms of Israel, five to twenty acres, the reserved edge is a quarter to a half of one percent of the harvest."
126,books/symbolic-language/03-signs-and-similitudes.adoc,80,"The sym:sym-bow[bow] in the cloud is __“the token of the covenant”__ (Genesis 9:12-13 — a chapter of its own ahead); circumcision is __“the sym:sym-sign[sign]… a sym:sym-seal[seal] of the sym:sym-righteousness[righteousness] of the faith”__ (Genesis 17:11; Romans 4:11); the Passover blood on the houses was __“a token”__ (Exodus 12:13); the word of God itself is bound __“for a sign upon thine hand”__ (Deuteronomy 6:8); and the sabbath is __“a sign between me and you throughout your generations… that ye may know that I am the LORD that doth sanctify you… a sign… for ever”__ (Exodus 31:13, 17; Ezekiel 20:12)."
124,books/symbolic-language/30-the-pearl.adoc,189,"Solomon uses the same word for the day the traveling husband returns: __“he will come home at the *full moon*”__ (Proverbs 7:20) — _keseh_ again — and there it is spelled כסא, letter for letter the spelling of _kisse’_, __“throne.”__ The last chapter stood on that identity from the enemy's side; here is the LORD's side of it: both words grow from one root, _kasah_, to cover, to fill — the throne is the covered seat, the full moon the filled light — and Job holds the two senses up in a single verse: __“He holdeth back the face of *his throne*, and spreadeth *his cloud* upon it”__ (Job 26:9), the veiled face of His full sym:sym-moon[moon]."
118,books/symbolic-language/38-mountain.adoc,166,"The picture is of __“dawn,”__ __“mist,”__ or __“fog”__ spread over the __“mountains,”__ which is quite common in early morning and aligns with the visual of a __“day of clouds and thick dark mist.”__ The Hebrew word for __“dawn,”__ _shachar_, link:/books/symbolic-language/lucifers-declared-plan/[names the dark before sunrise] — the first light while the sky is still quite dark, before the sun burns away the fog.footnote:fn33shachar[Derived — _shachar_ written on the letters of blackness — in the link:/books/symbolic-language/lucifers-declared-plan/[Lucifer's Declared Plan] chapter.] Now, with the greater context, we have dark clouds of smoke spread over the nations."
115,books/symbolic-language/34-the-fall-of-babylon.adoc,27,"The first plague turned the waters of Egypt to blood; the vials turn the sym:sym-sea[sea] and rivers to blood, and this time link:/books/symbolic-language/sea-and-waters/[the interpretation is spoken aloud] (Revelation 16:6).footnote:fn28bloodtodrink[The vial verses are quoted and worked in full in the link:/books/symbolic-language/sea-and-waters/[Sea & Waters] chapter.] The waters are __“peoples, and multitudes, and nations”__ (Revelation 17:15) — the equation the sign-of-Jonah chapter first put to work — so waters turned to blood are death upon the peoples, their own shed blood given back to them; the Sea study in Part Six works the full equation."
113,books/symbolic-language/30-the-pearl.adoc,207,"The psalm that gave this book the sym:sym-faithful-witness[faithful witness] link:/books/symbolic-language/sun-moon-and-stars/[already sets the throne] as the sym:sym-sun[sun] and as the sym:sym-moon[moon] — Psalm 89:36-37 — plain simile, not wordplay, and the throne is a throne of light.footnote:fn26thronepsalm[Derived in the link:/books/symbolic-language/sun-moon-and-stars/[Sun, Moon, and Stars] chapter.] Where darkness stands near it, it stands *outside*, as a veil: __“clouds and darkness are *round about* him”__ (Psalm 97:2) — round about, not within — the cloud of Job 26:9 spread *upon* the face, holding the light back."
