id,status,scope,type,severity,file,start_line,end_line,summary,patch_path,preview_path,campaign,original_hash,reviewer_notes,decided_at,applied_at,apply_error
MEAT-0101,applied,localized,factual-nuance,high,books/symbolic-language/18-liberty.adoc,32,32,Revise liberty/slavery contrast without overstating market forces.,books/symbolic-language/editorial-review/2026-07-10-phase-2-audit/patches/MEAT-0101.diff,books/symbolic-language/editorial-review/2026-07-10-phase-2-audit/previews/MEAT-0101.md,P2-C004,a7c54582a238f18c,,2026-07-10T06:00:23+00:00,2026-07-10T16:47:12+00:00,
MEAT-0102,applied,localized,presenter-tone,medium,books/symbolic-language/04-sign-of-jonah.adoc,142,142,Replace imperative transition with the actual claim.,books/symbolic-language/editorial-review/2026-07-10-phase-2-audit/patches/MEAT-0102.diff,books/symbolic-language/editorial-review/2026-07-10-phase-2-audit/previews/MEAT-0102.md,P2-C001,137d89f0036eb713,,2026-07-10T06:00:43+00:00,2026-07-10T16:47:12+00:00,
MEAT-0103,applied,localized,presenter-tone,medium,books/symbolic-language/04-sign-of-jonah.adoc,197,197,Replace notice-cue with a content-bearing transition.,books/symbolic-language/editorial-review/2026-07-10-phase-2-audit/patches/MEAT-0103.diff,books/symbolic-language/editorial-review/2026-07-10-phase-2-audit/previews/MEAT-0103.md,P2-C001,ff590b0a565a7fa8,,2026-07-10T06:00:51+00:00,2026-07-10T16:47:12+00:00,
MEAT-0104,applied,localized,presenter-tone,low,books/symbolic-language/04-sign-of-jonah.adoc,313,313,Smooth an imperative summary cue.,books/symbolic-language/editorial-review/2026-07-10-phase-2-audit/patches/MEAT-0104.diff,books/symbolic-language/editorial-review/2026-07-10-phase-2-audit/previews/MEAT-0104.md,P2-C001,dcce06c6d87a1791,,2026-07-10T06:01:01+00:00,2026-07-10T16:47:12+00:00,
MEAT-0105,applied,localized,presenter-tone,medium,books/symbolic-language/11-marriage-and-divorce.adoc,22,22,Replace notice-cue with direct prose.,books/symbolic-language/editorial-review/2026-07-10-phase-2-audit/patches/MEAT-0105.diff,books/symbolic-language/editorial-review/2026-07-10-phase-2-audit/previews/MEAT-0105.md,P2-C001,45db84e5520b5c2f,,2026-07-10T06:01:07+00:00,2026-07-10T16:47:12+00:00,
MEAT-0106,rejected,localized,presenter-tone,medium,books/symbolic-language/31-the-sabbath.adoc,109,109,Turn a notice-cue into the claim itself.,books/symbolic-language/editorial-review/2026-07-10-phase-2-audit/patches/MEAT-0106.diff,books/symbolic-language/editorial-review/2026-07-10-phase-2-audit/previews/MEAT-0106.md,P2-C001,3a0efbdd239a87fc,,2026-07-10T06:01:31+00:00,,
MEAT-0107,applied,localized,presenter-tone,medium,books/symbolic-language/39-sea-and-waters.adoc,407,407,Replace stage direction before the boat scene.,books/symbolic-language/editorial-review/2026-07-10-phase-2-audit/patches/MEAT-0107.diff,books/symbolic-language/editorial-review/2026-07-10-phase-2-audit/previews/MEAT-0107.md,P2-C001,14b503d390c360df,,2026-07-10T06:01:37+00:00,2026-07-10T16:47:12+00:00,
MEAT-0108,applied,localized,presenter-tone,medium,books/symbolic-language/42-garments.adoc,59,59,Remove imperative framing before the garment passage.,books/symbolic-language/editorial-review/2026-07-10-phase-2-audit/patches/MEAT-0108.diff,books/symbolic-language/editorial-review/2026-07-10-phase-2-audit/previews/MEAT-0108.md,P2-C001,84a8285e5a918f9e,,2026-07-10T06:01:44+00:00,2026-07-10T16:47:12+00:00,
MEAT-0109,applied,localized,presenter-tone,medium,books/symbolic-language/43-the-bow.adoc,80,80,Replace Mark-cue with direct syntax.,books/symbolic-language/editorial-review/2026-07-10-phase-2-audit/patches/MEAT-0109.diff,books/symbolic-language/editorial-review/2026-07-10-phase-2-audit/previews/MEAT-0109.md,P2-C001,a6b8a4edefe70097,,2026-07-10T06:01:53+00:00,2026-07-10T16:47:12+00:00,
MEAT-0110,applied,localized,presenter-tone,low,books/symbolic-language/24-what-is-the-point.adoc,70,70,Reduce imperative transition.,books/symbolic-language/editorial-review/2026-07-10-phase-2-audit/patches/MEAT-0110.diff,books/symbolic-language/editorial-review/2026-07-10-phase-2-audit/previews/MEAT-0110.md,P2-C001,4e8539c78a4ff97c,,2026-07-10T06:02:02+00:00,2026-07-10T16:47:12+00:00,
