id,status,scope,type,severity,file,start_line,end_line,summary,patch_path,preview_path,campaign,original_hash,reviewer_notes,decided_at,applied_at,apply_error
MEAT-0001,applied,localized,tone-register,low,books/symbolic-language/01-introduction.adoc,50,50,Replace stock lens metaphor with direct prose.,books/symbolic-language/editorial-review/2026-07-09-initial-audit/patches/MEAT-0001.diff,books/symbolic-language/editorial-review/2026-07-09-initial-audit/previews/MEAT-0001.md,C001,d92f3bfe52b13e49,,2026-07-10T04:58:47+00:00,2026-07-10T05:31:57+00:00,
MEAT-0002,applied,localized,tone-register,low,books/symbolic-language/01-introduction.adoc,271,271,Replace technical register phrase 'failure mode'.,books/symbolic-language/editorial-review/2026-07-09-initial-audit/patches/MEAT-0002.diff,books/symbolic-language/editorial-review/2026-07-09-initial-audit/previews/MEAT-0002.md,C001,2b7e11d2aadfecda,,2026-07-10T04:59:10+00:00,2026-07-10T05:31:57+00:00,
MEAT-0003,applied,localized,ai-sounding-staging,medium,books/symbolic-language/02-the-parables-of-the-kingdom.adoc,44,44,Remove stage-direction command to the reader.,books/symbolic-language/editorial-review/2026-07-09-initial-audit/patches/MEAT-0003.diff,books/symbolic-language/editorial-review/2026-07-09-initial-audit/previews/MEAT-0003.md,C001,fd69430b7efeae3c,,2026-07-10T04:59:22+00:00,2026-07-10T05:31:57+00:00,
MEAT-0004,applied,localized,tone-register,medium,books/symbolic-language/02-the-parables-of-the-kingdom.adoc,45,45,Soften AI-forward wording and the academic 'corpus'.,books/symbolic-language/editorial-review/2026-07-09-initial-audit/patches/MEAT-0004.diff,books/symbolic-language/editorial-review/2026-07-09-initial-audit/previews/MEAT-0004.md,C001,f47e0c0f51d6697a,,2026-07-10T05:00:17+00:00,2026-07-10T05:33:23+00:00,
MEAT-0005,applied,localized,ai-sounding-staging,medium,books/symbolic-language/04-sign-of-jonah.adoc,263,263,Replace 'Now watch' staging transition.,books/symbolic-language/editorial-review/2026-07-09-initial-audit/patches/MEAT-0005.diff,books/symbolic-language/editorial-review/2026-07-09-initial-audit/previews/MEAT-0005.md,C001,6ff292a80a52a01c,,2026-07-10T05:00:36+00:00,2026-07-10T05:32:36+00:00,
MEAT-0006,applied,localized,ai-sounding-staging,medium,books/symbolic-language/04-sign-of-jonah.adoc,269,269,Cut meta-instruction and rhetorical pressure.,books/symbolic-language/editorial-review/2026-07-09-initial-audit/patches/MEAT-0006.diff,books/symbolic-language/editorial-review/2026-07-09-initial-audit/previews/MEAT-0006.md,C001,27b8cf1865d6ddde,,2026-07-10T05:01:11+00:00,2026-07-10T05:32:36+00:00,
MEAT-0007,applied,localized,ai-sounding-staging,low,books/symbolic-language/04-sign-of-jonah.adoc,324,324,Replace imperative transition.,books/symbolic-language/editorial-review/2026-07-09-initial-audit/patches/MEAT-0007.diff,books/symbolic-language/editorial-review/2026-07-09-initial-audit/previews/MEAT-0007.md,C001,8c3ce623c3ad1617,,2026-07-10T05:01:34+00:00,2026-07-10T05:32:36+00:00,
MEAT-0008,applied,localized,bad-metaphor,low,books/symbolic-language/04-sign-of-jonah.adoc,181,181,Replace modern camera metaphor.,books/symbolic-language/editorial-review/2026-07-09-initial-audit/patches/MEAT-0008.diff,books/symbolic-language/editorial-review/2026-07-09-initial-audit/previews/MEAT-0008.md,C001,09c870b5b72b74a9,,2026-07-10T05:01:54+00:00,2026-07-10T05:32:36+00:00,
MEAT-0009,applied,localized,tone-register,medium,books/symbolic-language/05-gospel.adoc,280,280,Replace academic 'corpus' with book-native wording.,books/symbolic-language/editorial-review/2026-07-09-initial-audit/patches/MEAT-0009.diff,books/symbolic-language/editorial-review/2026-07-09-initial-audit/previews/MEAT-0009.md,C001,b4dfaaa33fd0c630,,2026-07-10T05:02:05+00:00,2026-07-10T05:32:36+00:00,
MEAT-0010,applied,localized,tone-register,low,books/symbolic-language/06-knowing-faith-love-and-belief.adoc,44,44,Replace abstract phrase 'without remainder'.,books/symbolic-language/editorial-review/2026-07-09-initial-audit/patches/MEAT-0010.diff,books/symbolic-language/editorial-review/2026-07-09-initial-audit/previews/MEAT-0010.md,C001,ebdbb21cb4d69768,,2026-07-10T05:02:19+00:00,2026-07-10T05:32:36+00:00,
MEAT-0011,applied,localized,ai-sounding-staging,medium,books/symbolic-language/08-the-name.adoc,267,267,Replace 'Now watch' transition.,books/symbolic-language/editorial-review/2026-07-09-initial-audit/patches/MEAT-0011.diff,books/symbolic-language/editorial-review/2026-07-09-initial-audit/previews/MEAT-0011.md,C001,6c8030d642c52581,,2026-07-10T05:02:36+00:00,2026-07-10T05:32:36+00:00,
MEAT-0012,applied,localized,ai-sounding-staging,medium,books/symbolic-language/08-the-name.adoc,298,298,Replace imperative transition.,books/symbolic-language/editorial-review/2026-07-09-initial-audit/patches/MEAT-0012.diff,books/symbolic-language/editorial-review/2026-07-09-initial-audit/previews/MEAT-0012.md,C001,138c4923a5b944d3,,2026-07-10T05:02:53+00:00,2026-07-10T05:32:36+00:00,
MEAT-0013,applied,localized,ai-sounding-staging,medium,books/symbolic-language/09-the-seal.adoc,92,92,Replace stage-direction wording.,books/symbolic-language/editorial-review/2026-07-09-initial-audit/patches/MEAT-0013.diff,books/symbolic-language/editorial-review/2026-07-09-initial-audit/previews/MEAT-0013.md,C001,7088a4e6de7f3adf,,2026-07-10T05:03:03+00:00,2026-07-10T05:32:36+00:00,
MEAT-0014,applied,localized,ai-sounding-staging,medium,books/symbolic-language/11-marriage-and-divorce.adoc,102,102,Replace 'Hold that' cue.,books/symbolic-language/editorial-review/2026-07-09-initial-audit/patches/MEAT-0014.diff,books/symbolic-language/editorial-review/2026-07-09-initial-audit/previews/MEAT-0014.md,C001,ed74502fa23b09a8,,2026-07-10T05:03:12+00:00,2026-07-10T05:32:36+00:00,
