file,line,nearby_title
books/symbolic-language/01-introduction.adoc,74,.The results
books/symbolic-language/02-the-parables-of-the-kingdom.adoc,133,.The Teacher grades the derivation
books/symbolic-language/04-sign-of-jonah.adoc,25,.How the sign of Jonah is usually taught
books/symbolic-language/04-sign-of-jonah.adoc,62,.How “the heart of the earth” is usually read (Matt. 12:40)
books/symbolic-language/05-gospel.adoc,35,".The titles the gospel wears — and no title of death, cross, or forgiveness among them"
books/symbolic-language/06-knowing-faith-love-and-belief.adoc,21,".One act, four offices — and the word for holding them"
books/symbolic-language/14-the-remnant.adoc,148,.The perimeter row as a share of the field
books/symbolic-language/14-the-remnant.adoc,178,.Gold ore grades — and where the remnant falls
books/symbolic-language/14-the-remnant.adoc,228,.Job's household — and its survivors
books/symbolic-language/14-the-remnant.adoc,268,.The land as a census: who fits under the vine and the fig tree
books/symbolic-language/19-the-fool-and-the-wise.adoc,101,.How the “oil” is usually read (ten virgins)
books/symbolic-language/28-sun-moon-and-stars.adoc,392,.The camp and the gates — the twelve in four triads
books/symbolic-language/38-mountain.adoc,86,.How the “mountain” is usually read (Rev. 8:8)
books/symbolic-language/38-mountain.adoc,124,.How the “mountain” Jesus moves is usually read
books/symbolic-language/38-mountain.adoc,148,.How the “mountains” are usually read (Ps. 46)
books/symbolic-language/39-sea-and-waters.adoc,90,.How the “sea and waves roaring” is usually read (Luke 21:25)
books/symbolic-language/39-sea-and-waters.adoc,277,.How the witnesses’ power is usually read (Rev. 11:6)
books/symbolic-language/39-sea-and-waters.adoc,418,.How the stilling of the storm is usually taught (Mark 4:39)
books/symbolic-language/39-sea-and-waters.adoc,531,.How “no more sea” is usually read (Rev. 21:1)
books/symbolic-language/44-jacob-israel-and-ephraim.adoc,23,.How Jacob’s change to Israel is usually read
