anchor,term,relation,relationship_votes,citation_support,citation_support_votes,persuasion,persuasion_votes,final_verdict
almond,Almond (shaqed),MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,PARTIAL|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
assembly,Assembly of the wicked / synagogue of Satan,MATCH,MATCH|REFINED|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
babel,Babel / Babylon,MATCH,MATCH|MATCH|MATCH|MATCH,DISPUTED,PARTIAL|PARTIAL|STRONG|STRONG,NOT_APPLICABLE,,MATCH
barley,Barley,MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,PARTIAL|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
beast,"Beast, wild animal",REFINED,REFINED|REFINED|REFINED|REFINED,STRONG,PARTIAL|STRONG|STRONG|STRONG,NOT_APPLICABLE,,REFINED
bow,Bow,REFINED,REFINED|REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
bramble,"Bramble (thorns, thistles, briers)",REFINED,REFINED|REFINED|REFINED|REFINED,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,REFINED
branches,Branches,REFINED,REFINED|REFINED|REFINED|REFINED,STRONG,PARTIAL|STRONG|STRONG|STRONG,NOT_APPLICABLE,,REFINED
bread,Bread,DIVERGENT,DIVERGENT|DIVERGENT|REFINED|DIVERGENT,DISPUTED,PARTIAL|PARTIAL|STRONG|STRONG,NOT_APPLICABLE,,DIVERGENT_PENDING
butter,"Butter (curdled milk, chemah)",DIVERGENT,DIVERGENT|DIVERGENT|DIVERGENT|DIVERGENT,PARTIAL,PARTIAL|PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,DIVERGENT_PENDING
cast-into-sea,"Cast into the sea (a stone, mountain, or millstone sinking)",REFINED,REFINED|REFINED|REFINED|REFINED,DISPUTED,PARTIAL|PARTIAL|STRONG|STRONG,NOT_APPLICABLE,,REFINED
cedar,Cedar,MATCH,MATCH|REFINED|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
chaff,Chaff,MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
cloud,Cloud,DISPUTED,REFINED|REFINED|DIVERGENT|DIVERGENT,PARTIAL,PARTIAL|PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,DISPUTED
coin,Coin,REFINED,REFINED|REFINED|MATCH|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
darkness,Darkness,REFINED,REFINED|REFINED|REFINED|REFINED,STRONG,PARTIAL|STRONG|STRONG|STRONG,NOT_APPLICABLE,,REFINED
day,Day,DISPUTED,REFINED|MATCH|MATCH|REFINED,DISPUTED,PARTIAL|PARTIAL|STRONG|STRONG,NOT_APPLICABLE,,DISPUTED
disciple,Disciple,REFINED,REFINED|REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
divorce,Divorce (bill of divorcement),REFINED,REFINED|REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
dog,Dog,REFINED,REFINED|REFINED|REFINED|REFINED,DISPUTED,PARTIAL|PARTIAL|STRONG|STRONG,NOT_APPLICABLE,,REFINED
door,"Door, gate",MATCH,MATCH|MATCH|MATCH|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,MATCH
dragon,Dragon,DIVERGENT,DIVERGENT|DIVERGENT|DIVERGENT|DIVERGENT,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,DIVERGENT_PENDING
east,East,DISPUTED,REFINED|MATCH|REFINED|MATCH,STRONG,PARTIAL|STRONG|STRONG|STRONG,NOT_APPLICABLE,,DISPUTED
egypt,Egypt,DIVERGENT,DIVERGENT|DIVERGENT|DIVERGENT|DIVERGENT,DISPUTED,PARTIAL|PARTIAL|STRONG|STRONG,NOT_APPLICABLE,,DIVERGENT_PENDING
elam,Elam,NOVEL,NOVEL|NOVEL|NOVEL|NOVEL,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,NOVEL
elders,Elders,REFINED,DIVERGENT|REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
