anchor,term,relation,relationship_votes,citation_support,citation_support_votes,persuasion,persuasion_votes,final_verdict
almond,Almond (shaqed),MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
ancient-of-days,Ancient of Days (attiq yomin),REFINED,REFINED|REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,REFINED
anointing,"Anoint, anointing",REFINED,REFINED|REFINED|REFINED|REFINED,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,REFINED
assembly,Assembly of the wicked / synagogue of Satan,DISPUTED,MATCH|REFINED|MATCH|REFINED,STRONG,STRONG|PARTIAL|STRONG|STRONG,NOT_APPLICABLE,,DISPUTED
babel,Babel / Babylon,MATCH,MATCH|MATCH|MATCH|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,MATCH
barley,Barley,MATCH,MATCH|MATCH|MATCH|MATCH,STRONG,PARTIAL|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
beast,"Beast, wild animal",REFINED,REFINED|REFINED|REFINED|REFINED,STRONG,PARTIAL|STRONG|STRONG|STRONG,NOT_APPLICABLE,,REFINED
belief,"Belief, to believe",REFINED,REFINED|REFINED|REFINED|REFINED,DISPUTED,STRONG|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
bow,Bow,REFINED,REFINED|REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,NOT_APPLICABLE,,REFINED
bramble,"Bramble (thorns, thistles, briers)",DISPUTED,MATCH|REFINED|MATCH|REFINED,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,DISPUTED
branches,Branches,REFINED,REFINED|REFINED|REFINED|REFINED,STRONG,PARTIAL|STRONG|STRONG|STRONG,NOT_APPLICABLE,,REFINED
bread,Bread,DIVERGENT,DIVERGENT|DIVERGENT|REFINED|DIVERGENT,DISPUTED,PARTIAL|PARTIAL|STRONG|STRONG,PERSUADED,UNPERSUADED|PERSUADED|PERSUADED|PERSUADED,DIVERGENT_PERSUADED
butter,Butter (curdled milk),DIVERGENT,DIVERGENT|DIVERGENT|DIVERGENT|DIVERGENT,PARTIAL,PARTIAL|PARTIAL|PARTIAL|PARTIAL,PERSUADED,UNPERSUADED|PERSUADED|PERSUADED|PERSUADED,DIVERGENT_PERSUADED
cast-into-sea,"Cast into the sea (a stone, mountain, tree, ship, or millstone sinking)",REFINED,REFINED|REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|PARTIAL|PARTIAL,NOT_APPLICABLE,,REFINED
cedar,Cedar,MATCH,MATCH|MATCH|MATCH|REFINED,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
chaff,Chaff,MATCH,MATCH|MATCH|MATCH|REFINED,STRONG,STRONG|STRONG|STRONG|STRONG,NOT_APPLICABLE,,MATCH
