id,status,scope,type,severity,file,start_line,end_line,summary,patch_path,preview_path,campaign,original_hash,reviewer_notes,decided_at,applied_at,apply_error
MEAT-0601,applied,localized,spoken-transition,medium,books/symbolic-language/audio/01-introduction.adoc,67,67,Turn bare section title into a spoken setup in Introduction.,books/symbolic-language/editorial-review/2026-07-11-phase-6-audio-flow-audit/patches/MEAT-0601.diff,books/symbolic-language/editorial-review/2026-07-11-phase-6-audio-flow-audit/previews/MEAT-0601.md,P6-C001,ec4882a32f4527cc,,2026-07-11T18:23:46+00:00,2026-07-11T18:26:46+00:00,
MEAT-0602,applied,localized,spoken-transition,low,books/symbolic-language/audio/01-introduction.adoc,130,130,Add a bridge into the design section in Introduction.,books/symbolic-language/editorial-review/2026-07-11-phase-6-audio-flow-audit/patches/MEAT-0602.diff,books/symbolic-language/editorial-review/2026-07-11-phase-6-audio-flow-audit/previews/MEAT-0602.md,P6-C001,4e02b85efc44b09d,,2026-07-11T18:23:50+00:00,2026-07-11T18:26:46+00:00,
MEAT-0603,applied,localized,spoken-transition,medium,books/symbolic-language/audio/01-introduction.adoc,195,195,Replace bare “What Is Meat?” heading with a guided transition.,books/symbolic-language/editorial-review/2026-07-11-phase-6-audio-flow-audit/patches/MEAT-0603.diff,books/symbolic-language/editorial-review/2026-07-11-phase-6-audio-flow-audit/previews/MEAT-0603.md,P6-C001,3cfa8b08630a28bf,,2026-07-11T18:23:53+00:00,2026-07-11T18:26:46+00:00,
MEAT-0604,applied,localized,spoken-transition,low,books/symbolic-language/audio/01-introduction.adoc,402,402,Make the closing title line of Introduction land as a transition.,books/symbolic-language/editorial-review/2026-07-11-phase-6-audio-flow-audit/patches/MEAT-0604.diff,books/symbolic-language/editorial-review/2026-07-11-phase-6-audio-flow-audit/previews/MEAT-0604.md,P6-C001,364620e6a3ac4e14,,2026-07-11T18:23:59+00:00,2026-07-11T18:26:46+00:00,
MEAT-0605,applied,localized,spoken-transition,medium,books/symbolic-language/audio/02-the-parables-of-the-kingdom.adoc,44,44,Make the exam-method section sound like a live question.,books/symbolic-language/editorial-review/2026-07-11-phase-6-audio-flow-audit/patches/MEAT-0605.diff,books/symbolic-language/editorial-review/2026-07-11-phase-6-audio-flow-audit/previews/MEAT-0605.md,P6-C001,cdabe30cee87c4d8,,2026-07-11T18:24:02+00:00,2026-07-11T18:26:46+00:00,
MEAT-0606,applied,localized,spoken-transition,medium,books/symbolic-language/audio/02-the-parables-of-the-kingdom.adoc,71,71,Turn the Sower section title into a process cue.,books/symbolic-language/editorial-review/2026-07-11-phase-6-audio-flow-audit/patches/MEAT-0606.diff,books/symbolic-language/editorial-review/2026-07-11-phase-6-audio-flow-audit/previews/MEAT-0606.md,P6-C001,85c0bf1338c508ff,,2026-07-11T18:24:07+00:00,2026-07-11T18:26:46+00:00,
MEAT-0607,applied,localized,spoken-transition,low,books/symbolic-language/audio/02-the-parables-of-the-kingdom.adoc,218,218,Add sequence language before Wheat and Tares.,books/symbolic-language/editorial-review/2026-07-11-phase-6-audio-flow-audit/patches/MEAT-0607.diff,books/symbolic-language/editorial-review/2026-07-11-phase-6-audio-flow-audit/previews/MEAT-0607.md,P6-C001,b811a129fc647053,,2026-07-11T18:24:18+00:00,2026-07-11T18:26:46+00:00,
MEAT-0608,applied,localized,spoken-transition,low,books/symbolic-language/audio/02-the-parables-of-the-kingdom.adoc,262,262,Bridge from field parables into Mustard Seed.,books/symbolic-language/editorial-review/2026-07-11-phase-6-audio-flow-audit/patches/MEAT-0608.diff,books/symbolic-language/editorial-review/2026-07-11-phase-6-audio-flow-audit/previews/MEAT-0608.md,P6-C001,50a59ef7562f7b97,,2026-07-11T18:24:21+00:00,2026-07-11T18:26:46+00:00,
MEAT-0609,applied,localized,spoken-transition,low,books/symbolic-language/audio/02-the-parables-of-the-kingdom.adoc,310,310,Make Leaven transition recall the established symbols.,books/symbolic-language/editorial-review/2026-07-11-phase-6-audio-flow-audit/patches/MEAT-0609.diff,books/symbolic-language/editorial-review/2026-07-11-phase-6-audio-flow-audit/previews/MEAT-0609.md,P6-C001,01b2d6b9ca609a19,,2026-07-11T18:24:23+00:00,2026-07-11T18:26:46+00:00,
MEAT-0610,applied,localized,spoken-transition,low,books/symbolic-language/audio/02-the-parables-of-the-kingdom.adoc,344,344,Replace bare Treasure title with spoken sequence cue.,books/symbolic-language/editorial-review/2026-07-11-phase-6-audio-flow-audit/patches/MEAT-0610.diff,books/symbolic-language/editorial-review/2026-07-11-phase-6-audio-flow-audit/previews/MEAT-0610.md,P6-C001,e3514a63e8070023,,2026-07-11T18:24:24+00:00,2026-07-11T18:26:46+00:00,
MEAT-0611,applied,localized,spoken-transition,low,books/symbolic-language/audio/02-the-parables-of-the-kingdom.adoc,388,388,Replace bare Pearl title with a short spoken bridge.,books/symbolic-language/editorial-review/2026-07-11-phase-6-audio-flow-audit/patches/MEAT-0611.diff,books/symbolic-language/editorial-review/2026-07-11-phase-6-audio-flow-audit/previews/MEAT-0611.md,P6-C001,f6d3c2c39180df79,,2026-07-11T18:24:26+00:00,2026-07-11T18:26:46+00:00,
MEAT-0612,applied,localized,spoken-transition,low,books/symbolic-language/audio/02-the-parables-of-the-kingdom.adoc,418,418,Mark the Net as the final parable in the sequence.,books/symbolic-language/editorial-review/2026-07-11-phase-6-audio-flow-audit/patches/MEAT-0612.diff,books/symbolic-language/editorial-review/2026-07-11-phase-6-audio-flow-audit/previews/MEAT-0612.md,P6-C001,d280e9df66775e99,,2026-07-11T18:24:28+00:00,2026-07-11T18:26:46+00:00,
MEAT-0613,applied,localized,spoken-transition,medium,books/symbolic-language/audio/03-signs-and-similitudes.adoc,51,51,Guide the listener into the definition of sign.,books/symbolic-language/editorial-review/2026-07-11-phase-6-audio-flow-audit/patches/MEAT-0613.diff,books/symbolic-language/editorial-review/2026-07-11-phase-6-audio-flow-audit/previews/MEAT-0613.md,P6-C001,0a98da0a24f09e4d,,2026-07-11T18:24:32+00:00,2026-07-11T18:26:46+00:00,
MEAT-0614,applied,localized,spoken-transition,medium,books/symbolic-language/audio/03-signs-and-similitudes.adoc,137,137,Turn “Two Tests” heading into a spoken signpost.,books/symbolic-language/editorial-review/2026-07-11-phase-6-audio-flow-audit/patches/MEAT-0614.diff,books/symbolic-language/editorial-review/2026-07-11-phase-6-audio-flow-audit/previews/MEAT-0614.md,P6-C001,74405f17ffd3947f,,2026-07-11T18:24:34+00:00,2026-07-11T18:26:46+00:00,
