id,status,scope,type,severity,file,start_line,end_line,summary,patch_path,preview_path,campaign,original_hash,reviewer_notes,decided_at,applied_at,apply_error
MEAT-0801,pending,localized,factual-naming,high,books/symbolic-language/01-introduction.adoc,74,74,Fix nonexistent model name 'Claude Fable 5'.,books/symbolic-language/editorial-review/2026-07-11-phase-8-grok-broad-review/patches/MEAT-0801.diff,books/symbolic-language/editorial-review/2026-07-11-phase-8-grok-broad-review/previews/MEAT-0801.md,P8-C002,3d287aa2f3f72884,,,,
MEAT-0802,pending,localized,ai-sounding-staging,medium,books/symbolic-language/01-introduction.adoc,233,233,Remove dual stage cues ('Now go back' + 'notice that').,books/symbolic-language/editorial-review/2026-07-11-phase-8-grok-broad-review/patches/MEAT-0802.diff,books/symbolic-language/editorial-review/2026-07-11-phase-8-grok-broad-review/previews/MEAT-0802.md,P8-C001,eba080b6af8bb46f,,,,
MEAT-0803,pending,localized,ai-sounding-staging,medium,books/symbolic-language/01-introduction.adoc,244,244,Replace 'Mark that' imperative cue.,books/symbolic-language/editorial-review/2026-07-11-phase-8-grok-broad-review/patches/MEAT-0803.diff,books/symbolic-language/editorial-review/2026-07-11-phase-8-grok-broad-review/previews/MEAT-0803.md,P8-C001,0a21a0675194974f,,,,
MEAT-0804,pending,localized,sentence-open,low,books/symbolic-language/01-introduction.adoc,45,45,Avoid sentence-initial 'But' (house style).,books/symbolic-language/editorial-review/2026-07-11-phase-8-grok-broad-review/patches/MEAT-0804.diff,books/symbolic-language/editorial-review/2026-07-11-phase-8-grok-broad-review/previews/MEAT-0804.md,P8-C003,4a37f33d7c7af9ff,,,,
MEAT-0805,pending,localized,ai-sounding-staging,medium,books/symbolic-language/02-the-parables-of-the-kingdom.adoc,16,16,Replace 'Stop and weigh' presenter command.,books/symbolic-language/editorial-review/2026-07-11-phase-8-grok-broad-review/patches/MEAT-0805.diff,books/symbolic-language/editorial-review/2026-07-11-phase-8-grok-broad-review/previews/MEAT-0805.md,P8-C001,c986e893c21e9398,,,,
MEAT-0806,pending,localized,ai-sounding-staging,low,books/symbolic-language/02-the-parables-of-the-kingdom.adoc,52,52,Soften stage-direction 'Close the Gospels'.,books/symbolic-language/editorial-review/2026-07-11-phase-8-grok-broad-review/patches/MEAT-0806.diff,books/symbolic-language/editorial-review/2026-07-11-phase-8-grok-broad-review/previews/MEAT-0806.md,P8-C001,40493cfce7e70f87,,,,
MEAT-0807,pending,localized,ai-sounding-staging,medium,books/symbolic-language/02-the-parables-of-the-kingdom.adoc,68,68,Replace 'Now derive' workshop cue.,books/symbolic-language/editorial-review/2026-07-11-phase-8-grok-broad-review/patches/MEAT-0807.diff,books/symbolic-language/editorial-review/2026-07-11-phase-8-grok-broad-review/previews/MEAT-0807.md,P8-C001,33462bd1b0db7de7,,,,
MEAT-0808,pending,localized,ai-sounding-staging,medium,books/symbolic-language/03-signs-and-similitudes.adoc,39,39,Remove stacked 'watch' + 'notice that' cues.,books/symbolic-language/editorial-review/2026-07-11-phase-8-grok-broad-review/patches/MEAT-0808.diff,books/symbolic-language/editorial-review/2026-07-11-phase-8-grok-broad-review/previews/MEAT-0808.md,P8-C001,4d27c6b1b8f40059,,,,
MEAT-0809,pending,localized,ai-sounding-staging,low,books/symbolic-language/03-signs-and-similitudes.adoc,67,67,Replace 'Now test' imperative transition.,books/symbolic-language/editorial-review/2026-07-11-phase-8-grok-broad-review/patches/MEAT-0809.diff,books/symbolic-language/editorial-review/2026-07-11-phase-8-grok-broad-review/previews/MEAT-0809.md,P8-C001,9341035dfdad8d91,,,,
MEAT-0810,pending,localized,ai-sounding-staging,medium,books/symbolic-language/03-signs-and-similitudes.adoc,76,76,Replace 'But mark what happened' cue.,books/symbolic-language/editorial-review/2026-07-11-phase-8-grok-broad-review/patches/MEAT-0810.diff,books/symbolic-language/editorial-review/2026-07-11-phase-8-grok-broad-review/previews/MEAT-0810.md,P8-C001,0414bd80f2ae67b0,,,,
