file,line,current,verdict,issue_id,reason
books/symbolic-language/audio/01-introduction.adoc,67,What Is a Symbolic Word?,proposed,MEAT-0601,Turn bare section title into a spoken setup in Introduction.
books/symbolic-language/audio/01-introduction.adoc,130,The Supernatural Design of Scripture.,proposed,MEAT-0602,Add a bridge into the design section in Introduction.
books/symbolic-language/audio/01-introduction.adoc,195,What Is Meat?,proposed,MEAT-0603,Replace bare “What Is Meat?” heading with a guided transition.
books/symbolic-language/audio/01-introduction.adoc,402,Meet the Bible's symbolic language.,proposed,MEAT-0604,Make the closing title line of Introduction land as a transition.
books/symbolic-language/audio/02-the-parables-of-the-kingdom.adoc,44,How the Exam Is Taken.,proposed,MEAT-0605,Make the exam-method section sound like a live question.
books/symbolic-language/audio/02-the-parables-of-the-kingdom.adoc,71,"The Sower, Derived and Graded.",proposed,MEAT-0606,Turn the Sower section title into a process cue.
books/symbolic-language/audio/02-the-parables-of-the-kingdom.adoc,218,The Wheat and the Tares.,proposed,MEAT-0607,Add sequence language before Wheat and Tares.
books/symbolic-language/audio/02-the-parables-of-the-kingdom.adoc,262,The Mustard Seed.,proposed,MEAT-0608,Bridge from field parables into Mustard Seed.
books/symbolic-language/audio/02-the-parables-of-the-kingdom.adoc,310,The Leaven.,proposed,MEAT-0609,Make Leaven transition recall the established symbols.
books/symbolic-language/audio/02-the-parables-of-the-kingdom.adoc,344,The Treasure.,proposed,MEAT-0610,Replace bare Treasure title with spoken sequence cue.
books/symbolic-language/audio/02-the-parables-of-the-kingdom.adoc,388,The Pearl.,proposed,MEAT-0611,Replace bare Pearl title with a short spoken bridge.
books/symbolic-language/audio/02-the-parables-of-the-kingdom.adoc,418,The Net.,proposed,MEAT-0612,Mark the Net as the final parable in the sequence.
books/symbolic-language/audio/03-signs-and-similitudes.adoc,51,What Scripture Calls a Sign.,proposed,MEAT-0613,Guide the listener into the definition of sign.
books/symbolic-language/audio/03-signs-and-similitudes.adoc,137,The Two Tests of a Valid Sign.,proposed,MEAT-0614,Turn “Two Tests” heading into a spoken signpost.
books/symbolic-language/audio/03-signs-and-similitudes.adoc,156,A Likeness Made of Lives.,proposed,MEAT-0615,Bridge from signs into similitudes.
books/symbolic-language/audio/05-gospel.adoc,367,The Commission Seals It.,proposed,MEAT-0616,Make Gospel section title an audible conclusion cue.
books/symbolic-language/audio/06-knowing-faith-love-and-belief.adoc,38,Love.,proposed,MEAT-0617,Replace bare “Love” section title with a spoken cue.
books/symbolic-language/audio/06-knowing-faith-love-and-belief.adoc,204,Knowing.,proposed,MEAT-0618,Bridge from Love into Knowing.
books/symbolic-language/audio/06-knowing-faith-love-and-belief.adoc,266,Faith.,proposed,MEAT-0619,Add sequence language before Faith.
books/symbolic-language/audio/06-knowing-faith-love-and-belief.adoc,328,Belief.,proposed,MEAT-0620,Mark Belief as the final term in the chapter sequence.
books/symbolic-language/audio/09-the-disciple.adoc,33,The Gates.,proposed,MEAT-0621,Make The Gates section a spoken argument cue.
books/symbolic-language/audio/10-the-seal.adoc,32,"The Inscription, Quoted.",proposed,MEAT-0622,Bridge into the first Seal section.
books/symbolic-language/audio/11-the-coin.adoc,137,Next comes the fish that carries it.,proposed,MEAT-0623,Replace unclear “it” before the fish coin scene.
books/symbolic-language/audio/15-the-remnant.adoc,39,Solomon's Count: One in a Thousand.,proposed,MEAT-0624,Turn Remnant count heading into spoken sequence cue.
books/symbolic-language/audio/15-the-remnant.adoc,78,The Anchor: Elijah's Seven Thousand.,proposed,MEAT-0625,Clarify why Elijah’s seven thousand matters in Remnant.
books/symbolic-language/audio/16-heaven-and-hell.adoc,29,Two Jurisdictions.,proposed,MEAT-0626,Make Heaven/Hell opening section self-explanatory.
books/symbolic-language/audio/24-path-to-salvation.adoc,15,"Ask about mercy, and you get its twin: *not getting the punishment you do deserve*.",proposed,MEAT-0627,Carry the recent “twin” cleanup into the audio script.
books/symbolic-language/audio/04-sign-of-jonah.adoc,61,"So let us read the whole scroll, with the symbols we now hold.",keep,,Already carries the transition in spoken prose.
books/symbolic-language/audio/11-the-coin.adoc,35,Turn now to the coin of the census.,keep,,Already functions as a clear spoken bridge.
books/symbolic-language/audio/24-path-to-salvation.adoc,34,Grace: Favor That Moves First.,keep,,Heading is already self-explanatory and spoken as a complete cue.
