file,line,term,verdict,issue_id,reason
books/symbolic-language/02-the-parables-of-the-kingdom.adoc,70,anatomy,proposed,MEAT-0311,Anatomy does not add meaning; indictment fits Hosea context.
books/symbolic-language/03-signs-and-similitudes.adoc,119,furniture,proposed,MEAT-0304,"Replace sore metaphor with patterns, echoing Hebrews 8:5."
books/symbolic-language/07-the-way-the-truth-and-the-life.adoc,141,furnished,keep,,KJV quotation: “wedding was furnished with guests.”
books/symbolic-language/11-the-coin.adoc,24,furniture,proposed,MEAT-0301,Clear parable-symbol furniture wording.
books/symbolic-language/12-wings.adoc,84,furniture,keep,,Literal sanctuary furniture; not a parable-symbol label.
books/symbolic-language/12-wings.adoc,100,architecture,keep,,Mostly literal sanctuary arrangement; not a confusing metaphor in this context.
books/symbolic-language/16-heaven-and-hell.adoc,39,furnished,keep,,Verb refers to heaven being filled with lights; not a parable-symbol label.
books/symbolic-language/16-heaven-and-hell.adoc,181,apparatus,proposed,MEAT-0303,Machine metaphor is unnecessary.
books/symbolic-language/16-heaven-and-hell.adoc,189,furniture/architecture,proposed,MEAT-0302,Directly matches user concern; also removes architecture load.
books/symbolic-language/16-heaven-and-hell.adoc,190,furniture,proposed,MEAT-0302,Adjacent repeated parable-furniture phrase.
books/symbolic-language/16-shadow.adoc,6,props up,keep,,Common idiom in metadata; not about interpreting symbols.
books/symbolic-language/24-path-to-salvation.adoc,106,anatomy,proposed,MEAT-0312,Poetic load before a plain mercy sequence.
books/symbolic-language/28-sun-moon-and-stars.adoc,386,architecture,keep,,City/camp/wall language is literal enough in context.
books/symbolic-language/30-lucifers-declared-plan.adoc,62,furniture,proposed,MEAT-0313,Literal-seat contrast should be stated directly.
books/symbolic-language/32-time-tested-tradition.adoc,53,map/terrain,keep,,Deliberate controlling metaphor for companion volume; clear and sustained.
books/symbolic-language/35-the-fall-of-babylon.adoc,45,prop,proposed,MEAT-0314,Stage-object metaphor; “enacted sign” fits the chapter.
books/symbolic-language/35-the-fall-of-babylon.adoc,81,anatomy,proposed,MEAT-0315,Reversal is the real argument.
books/symbolic-language/36-clouds.adoc,20,vehicle/cargo,keep,,Grounded in “clouds his chariot” and sustained through the chapter.
books/symbolic-language/38x-further-studies.adoc,34,furniture,proposed,MEAT-0305,Chapter teaser repeats parable-furniture issue.
books/symbolic-language/40-sea-and-waters.adoc,146,machinery,proposed,MEAT-0316,Pattern fits method better.
books/symbolic-language/40-sea-and-waters.adoc,499,machinery,proposed,MEAT-0317,Pattern fits symbol sequence better.
books/symbolic-language/40-sea-and-waters.adoc,638,anatomy,proposed,MEAT-0318,Overwrought closing phrase; structure is clearer.
books/symbolic-language/40-trees.adoc,37,anatomy,keep,,Tree part language makes “anatomy” intelligible; lower priority.
books/symbolic-language/41x-the-parable-of-the-vineyard.adoc,7,map/furniture,proposed,MEAT-0306,Metadata repeats the problematic metaphor.
books/symbolic-language/41x-the-parable-of-the-vineyard.adoc,14,furnished/building site,proposed,MEAT-0307,Mixed metaphor before the chapter starts.
books/symbolic-language/41x-the-parable-of-the-vineyard.adoc,30,furniture,proposed,MEAT-0308,Direct parable-symbol furniture wording.
books/symbolic-language/41x-the-parable-of-the-vineyard.adoc,36,prop,proposed,MEAT-0309,Stage-object metaphor for a symbol.
books/symbolic-language/41x-the-parable-of-the-vineyard.adoc,232,prop,proposed,MEAT-0310,Stage-object metaphor for a symbol.
books/symbolic-language/42-grass.adoc,71,machinery,proposed,MEAT-0319,Use immediate sieve/sifting image.
books/symbolic-language/46-foreskin.adoc,69,anatomy,proposed,MEAT-0320,Condition is clearer than anatomy.
books/symbolic-language/48-the-other-white-meat.adoc,35,architecture,proposed,MEAT-0321,Reader must re-map hoof/tomb/building; direct split is better.
books/symbolic-language/48-the-other-white-meat.adoc,169,prop,proposed,MEAT-0322,Stage-object metaphor; sign is clearer.
