id,status,scope,type,severity,file,start_line,end_line,summary,patch_path,preview_path,campaign,original_hash,reviewer_notes,decided_at,applied_at,apply_error
MEAT-0301,applied,localized,bad-metaphor,medium,books/symbolic-language/11-the-coin.adoc,24,24,Replace parable “furniture” with direct symbol language in the Coin chapter.,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/patches/MEAT-0301.diff,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/previews/MEAT-0301.md,P4-C001,e900088f7f39eae8,,2026-07-11T16:22:24+00:00,2026-07-11T16:24:21+00:00,
MEAT-0302,applied,localized,bad-metaphor,medium,books/symbolic-language/16-heaven-and-hell.adoc,189,190,Replace “furniture/architecture” language in the Rich Man and Lazarus discussion.,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/patches/MEAT-0302.diff,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/previews/MEAT-0302.md,P4-C001,fc6a9ab926c1694e,,2026-07-11T16:22:34+00:00,2026-07-11T16:24:21+00:00,
MEAT-0303,rejected,localized,metaphor-load,low,books/symbolic-language/16-heaven-and-hell.adoc,181,181,Replace “apparatus of death and judgment” with plainer “order.”,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/patches/MEAT-0303.diff,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/previews/MEAT-0303.md,P4-C001,2e6957632c8fe88d,,2026-07-11T16:22:46+00:00,,
MEAT-0304,applied,localized,metaphor-load,low,books/symbolic-language/03-signs-and-similitudes.adoc,119,119,Replace “furniture of the covenant” with “covenant patterns.”,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/patches/MEAT-0304.diff,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/previews/MEAT-0304.md,P4-C001,9b4b6c8df357e477,,2026-07-11T16:22:52+00:00,2026-07-11T16:23:31+00:00,
MEAT-0305,applied,localized,bad-metaphor,medium,books/symbolic-language/38x-further-studies.adoc,34,34,Replace Vineyard summary “furniture” with “remaining symbols.”,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/patches/MEAT-0305.diff,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/previews/MEAT-0305.md,P4-C001,5e3906307e7c626c,,2026-07-11T16:23:00+00:00,2026-07-11T16:24:21+00:00,
MEAT-0306,applied,localized,bad-metaphor,medium,books/symbolic-language/41x-the-parable-of-the-vineyard.adoc,7,7,Remove “map/furniture” wording from Vineyard page description.,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/patches/MEAT-0306.diff,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/previews/MEAT-0306.md,P4-C001,bf4aa7c5ef661c29,,2026-07-11T16:20:37+00:00,2026-07-11T16:24:21+00:00,
MEAT-0307,applied,localized,bad-metaphor,medium,books/symbolic-language/41x-the-parable-of-the-vineyard.adoc,14,14,Replace “parable furnished like a building site” before the Vineyard quotation.,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/patches/MEAT-0307.diff,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/previews/MEAT-0307.md,P4-C001,978cf93d6909860d,,2026-07-11T16:20:51+00:00,2026-07-11T16:24:21+00:00,
MEAT-0308,applied,localized,bad-metaphor,medium,books/symbolic-language/41x-the-parable-of-the-vineyard.adoc,30,30,Replace “rest of the furniture” in the Vineyard method paragraph.,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/patches/MEAT-0308.diff,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/previews/MEAT-0308.md,P4-C001,e8c85768d18fc321,,2026-07-11T16:20:56+00:00,2026-07-11T16:24:21+00:00,
MEAT-0309,applied,localized,bad-metaphor,low,books/symbolic-language/41x-the-parable-of-the-vineyard.adoc,36,36,Replace “prop” with “symbol” in the Vineyard wall section.,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/patches/MEAT-0309.diff,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/previews/MEAT-0309.md,P4-C001,949c2738b903e823,,2026-07-11T16:21:01+00:00,2026-07-11T16:24:21+00:00,
MEAT-0310,applied,localized,bad-metaphor,low,books/symbolic-language/41x-the-parable-of-the-vineyard.adoc,232,232,Replace “prop” with “symbol” in the Vineyard conclusion.,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/patches/MEAT-0310.diff,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/previews/MEAT-0310.md,P4-C001,b8fd2813a1c3271d,,2026-07-11T16:21:06+00:00,2026-07-11T16:24:21+00:00,
MEAT-0311,applied,localized,metaphor-load,low,books/symbolic-language/02-the-parables-of-the-kingdom.adoc,70,70,Replace “whole anatomy” with “whole indictment” in Hosea transition.,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/patches/MEAT-0311.diff,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/previews/MEAT-0311.md,P4-C001,4bd43832375034a5,,2026-07-11T16:21:11+00:00,2026-07-11T16:23:31+00:00,
MEAT-0312,applied,localized,metaphor-load,low,books/symbolic-language/24-path-to-salvation.adoc,106,106,Replace “mercy with its full anatomy” with plainer prose.,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/patches/MEAT-0312.diff,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/previews/MEAT-0312.md,P4-C001,6dd424b2c22f1476,,2026-07-11T16:21:15+00:00,2026-07-11T16:24:21+00:00,
MEAT-0313,applied,localized,bad-metaphor,medium,books/symbolic-language/30-lucifers-declared-plan.adoc,62,62,Replace “dragging furniture into heaven” in the throne/moon argument.,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/patches/MEAT-0313.diff,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/previews/MEAT-0313.md,P4-C001,c4507f44d312d55d,,2026-07-11T16:21:23+00:00,2026-07-11T16:24:21+00:00,
MEAT-0314,applied,localized,bad-metaphor,low,books/symbolic-language/35-the-fall-of-babylon.adoc,45,45,Replace “one prop” with “one enacted sign” in the Moses/Babylon contest.,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/patches/MEAT-0314.diff,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/previews/MEAT-0314.md,P4-C001,72046b0c41eda4e7,,2026-07-11T16:21:31+00:00,2026-07-11T16:24:21+00:00,
MEAT-0315,applied,localized,metaphor-load,low,books/symbolic-language/35-the-fall-of-babylon.adoc,81,81,Replace “same anatomy” with “same reversal” in the trumpet armies paragraph.,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/patches/MEAT-0315.diff,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/previews/MEAT-0315.md,P4-C001,e8fe07e3b9ad68ca,,2026-07-11T16:21:32+00:00,2026-07-11T16:24:21+00:00,
MEAT-0316,applied,localized,metaphor-load,low,books/symbolic-language/40-sea-and-waters.adoc,146,146,Replace “machinery working” with “pattern working” in Sea and Waters.,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/patches/MEAT-0316.diff,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/previews/MEAT-0316.md,P4-C001,78171514c67fbce8,,2026-07-11T16:21:39+00:00,2026-07-11T16:24:21+00:00,
MEAT-0317,applied,localized,metaphor-load,low,books/symbolic-language/40-sea-and-waters.adoc,499,499,Replace “machinery Elijah’s servant watched” with “pattern.”,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/patches/MEAT-0317.diff,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/previews/MEAT-0317.md,P4-C001,9bf7e4fe8708d138,,2026-07-11T16:21:41+00:00,2026-07-11T16:24:21+00:00,
MEAT-0318,applied,localized,metaphor-load,low,books/symbolic-language/40-sea-and-waters.adoc,638,638,Replace “anatomy of power stands bare” with clearer summary language.,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/patches/MEAT-0318.diff,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/previews/MEAT-0318.md,P4-C001,ce1be48369a81757,,2026-07-11T16:21:53+00:00,2026-07-11T16:24:21+00:00,
MEAT-0319,applied,localized,metaphor-load,low,books/symbolic-language/42-grass.adoc,71,71,Replace “mercy in the machinery” with the passage’s own sieve image.,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/patches/MEAT-0319.diff,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/previews/MEAT-0319.md,P4-C001,08def16ccb1f1dba,,2026-07-11T16:21:58+00:00,2026-07-11T16:24:21+00:00,
MEAT-0320,applied,localized,metaphor-load,low,books/symbolic-language/46-foreskin.adoc,69,69,Replace “soils wear one anatomy” with “share one condition.”,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/patches/MEAT-0320.diff,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/previews/MEAT-0320.md,P4-C001,c3db79306e152013,,2026-07-11T16:22:04+00:00,2026-07-11T16:24:21+00:00,
MEAT-0321,applied,localized,bad-metaphor,medium,books/symbolic-language/48-the-other-white-meat.adoc,35,35,Replace “parted hoof in architecture” with direct outward/inward language.,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/patches/MEAT-0321.diff,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/previews/MEAT-0321.md,P4-C001,8bd8296270e85a48,,2026-07-11T16:22:11+00:00,2026-07-11T16:24:21+00:00,
MEAT-0322,applied,localized,bad-metaphor,low,books/symbolic-language/48-the-other-white-meat.adoc,169,169,Replace “bends the prop” in the Ezekiel sign-act discussion.,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/patches/MEAT-0322.diff,books/symbolic-language/editorial-review/2026-07-10-phase-4-metaphor-audit/previews/MEAT-0322.md,P4-C001,1d5b463fe2285e3d,,2026-07-11T16:22:20+00:00,2026-07-11T16:24:21+00:00,
