file,words,em_dashes,per_1000
books/symbolic-language/00-copyright.adoc,328,1,3.05
books/symbolic-language/00-how-to-use.adoc,248,3,12.1
books/symbolic-language/01-introduction.adoc,4272,89,20.83
books/symbolic-language/02-the-parables-of-the-kingdom.adoc,5650,98,17.35
books/symbolic-language/03-signs-and-similitudes.adoc,3275,60,18.32
books/symbolic-language/04-sign-of-jonah.adoc,5044,100,19.83
books/symbolic-language/05-gospel.adoc,3628,62,17.09
books/symbolic-language/06-knowing-faith-love-and-belief.adoc,3844,89,23.15
books/symbolic-language/07-the-way-the-truth-and-the-life.adoc,2721,55,20.21
books/symbolic-language/08-the-name.adoc,4670,90,19.27
books/symbolic-language/09-the-disciple.adoc,1587,33,20.79
books/symbolic-language/10-the-seal.adoc,1546,24,15.52
books/symbolic-language/11-the-coin.adoc,3991,84,21.05
books/symbolic-language/12-marriage-and-divorce.adoc,3975,73,18.36
books/symbolic-language/13-wings.adoc,2845,59,20.74
books/symbolic-language/14-orphans-widows-and-the-fatherless.adoc,2587,44,17.01
books/symbolic-language/15-the-remnant.adoc,5635,113,20.05
books/symbolic-language/16-heaven-and-hell.adoc,3394,72,21.21
books/symbolic-language/16x-weeping-and-gnashing.adoc,915,18,19.67
books/symbolic-language/17-shadow.adoc,2726,46,16.87
books/symbolic-language/18-justice-and-judgment.adoc,2898,45,15.53
books/symbolic-language/19-liberty.adoc,2400,39,16.25
books/symbolic-language/20-the-fool-and-the-wise.adoc,1995,43,21.55
books/symbolic-language/21-light-and-darkness.adoc,1245,21,16.87
books/symbolic-language/22-worship.adoc,2512,40,15.92
books/symbolic-language/23-the-fear-of-the-lord.adoc,1380,18,13.04
books/symbolic-language/24-path-to-salvation.adoc,2952,54,18.29
books/symbolic-language/25-what-is-the-point.adoc,1924,44,22.87
books/symbolic-language/26-spoken-once-heard-twice.adoc,1639,28,17.08
books/symbolic-language/27-noah-uncovered.adoc,1660,51,30.72
books/symbolic-language/28-behold-the-hand.adoc,1357,34,25.06
books/symbolic-language/29-sun-moon-and-stars.adoc,7115,162,22.77
books/symbolic-language/30-lucifers-declared-plan.adoc,2421,57,23.54
books/symbolic-language/31-the-pearl.adoc,5959,158,26.51
books/symbolic-language/32-the-sabbath.adoc,1561,37,23.7
books/symbolic-language/33-time-tested-tradition.adoc,1073,26,24.23
books/symbolic-language/34-the-four-winds.adoc,1514,25,16.51
books/symbolic-language/35-the-fall-of-babylon.adoc,3317,61,18.39
books/symbolic-language/36-daniel-unsealed.adoc,2659,63,23.69
books/symbolic-language/37-clouds.adoc,1838,28,15.23
books/symbolic-language/38-the-moment.adoc,1973,35,17.74
books/symbolic-language/38x-further-studies.adoc,329,11,33.43
books/symbolic-language/39-mountain.adoc,2901,19,6.55
books/symbolic-language/40-sea-and-waters.adoc,8655,138,15.94
books/symbolic-language/41-trees.adoc,2533,53,20.92
books/symbolic-language/41x-the-parable-of-the-vineyard.adoc,3478,62,17.83
books/symbolic-language/42-grass.adoc,1459,21,14.39
books/symbolic-language/43-garments.adoc,3334,54,16.2
books/symbolic-language/44-the-bow.adoc,1988,29,14.59
books/symbolic-language/45-jacob-israel-and-ephraim.adoc,2228,48,21.54
books/symbolic-language/46-foreskin.adoc,766,11,14.36
books/symbolic-language/47-butter.adoc,718,16,22.28
books/symbolic-language/48-the-other-white-meat.adoc,2773,59,21.28
books/symbolic-language/49-glossary.adoc,11118,214,19.25
books/symbolic-language/50-about-the-author.adoc,321,4,12.46
