file,line,match,text
books/symbolic-language/01-introduction.adoc,173,and mark,"Nature supplies the picture — and mark that this step is an observation, not a verse: milk is food another body has already digested; the infant does no work, it swallows what was broken down for it, and grows."
books/symbolic-language/01-introduction.adoc,233,Now go,"Now go back to the synagogue at Capernaum, where this book began — and notice that Jesus began with sym:sym-bread[bread]."
books/symbolic-language/01-introduction.adoc,233,notice that,"Now go back to the synagogue at Capernaum, where this book began — and notice that Jesus began with sym:sym-bread[bread]."
books/symbolic-language/01-introduction.adoc,244,Mark that,"Mark that distinction, because the common teaching runs exactly backwards."
books/symbolic-language/02-the-parables-of-the-kingdom.adoc,16,Stop and weigh,Stop and weigh that rebuke.
books/symbolic-language/02-the-parables-of-the-kingdom.adoc,52,Close the Gospels,Close the Gospels; what could a hearer of Moses and the prophets make of that?
books/symbolic-language/02-the-parables-of-the-kingdom.adoc,68,Now derive,"Now derive what the thorns *mean*, for the Old Testament assigns that too."
books/symbolic-language/02-the-parables-of-the-kingdom.adoc,266,but mark,"Disciples do forsake all — Peter says so five verses later and is not corrected (Matthew 19:27), and __“whosoever he be of you that forsaketh not all that he hath, he cannot be my disciple”__ (Luke 14:33) — but mark what no disciple ever did: buy the field."
books/symbolic-language/02-the-parables-of-the-kingdom.adoc,337,And mark,And mark why the score was owed: not one answer hung on a single verse.
books/symbolic-language/02-the-parables-of-the-kingdom.adoc,340,and mark,"Where He supplied none — the mustard tree, the leaven, the treasure, the pearl — the same Scriptures carry the reader most of the way, and mark plainly where the derivation ends and the testing begins."
books/symbolic-language/03-signs-and-similitudes.adoc,20,and mark,"The King James’ __“ensamples”__ is the Greek _typos_ — types, patterns struck in advance — and mark the two verbs: the things __“happened”__ as types before they were __“written”__ as types (so too 1 Corinthians 10:6)."
books/symbolic-language/03-signs-and-similitudes.adoc,39,notice that,"But watch what Scripture calls a sign, and notice that there is no wonder in it anywhere."
books/symbolic-language/03-signs-and-similitudes.adoc,67,Now test,Now test the definition on the most famous sign in the Bible:
books/symbolic-language/03-signs-and-similitudes.adoc,76,But mark,But mark what happened on the day the sign was given: nothing.
books/symbolic-language/04-sign-of-jonah.adoc,139,And mark,"And mark the double truth in the verbs: Jonah offers himself — __“cast me forth”__ — yet it is other hands that take him up and cast him; exactly as the Messiah is __“delivered… by wicked hands”__ (Acts 2:23) and yet insists, __“No man taketh it from me, but I lay it down of myself”__ (John 10:18)."
books/symbolic-language/08-the-name.adoc,100,Notice that,"Notice that God, answering, plays on David’s own word — for a __“house”__ in Scripture is a building _and_ a family line, and a family line is exactly what carries a name."
books/symbolic-language/12-marriage-and-divorce.adoc,161,Mark that,"Mark that sentence, because it is the Bible’s standing formula for a deposed covenant partner."
books/symbolic-language/12-marriage-and-divorce.adoc,220,And mark,"And mark that the trap was lawless on its face: the statute they quoted requires *both* — __“they shall *both* of them die, both the *man* that lay with the woman, and the woman”__ (Deuteronomy 22:22; Leviticus 20:10) — and a woman taken in the very act was taken with a man they knew and did not bring."
books/symbolic-language/15-the-remnant.adoc,25,Weigh the,Weigh the chapter the way the evidence is built.
books/symbolic-language/15-the-remnant.adoc,56,And mark,"And mark where the ratio lives: in the very verse where the divorced wife is called home — __“for I am married unto you,”__ the remarriage of the sym:sym-marriage[marriage] chapter."
books/symbolic-language/15-the-remnant.adoc,255,hold that word,The most demonstratively religious one percent was not enough — hold that word __“exceed”__; the Hebrew of the remnant will hand it back to us shortly.
books/symbolic-language/16x-weeping-and-gnashing.adoc,66,and mark,Now walk the seven texts and mark who is cast out — for it is never the heathen:
books/symbolic-language/19-liberty.adoc,116,and mark,"Offered the open sky, the servant chooses the house — for sym:sym-love[love], which Scripture defines as keeping the master’s commandments — and mark where and how the choice is sealed: his *ear*, at the *door post*."
books/symbolic-language/22-worship.adoc,60,Now consider,"Now consider the first time the word appears in the Bible, because Scripture’s first use of a word is a teacher."
