anchor,term,relation,relationship_votes,citation_support,citation_support_votes,persuasion,persuasion_votes,final_verdict
disciple,Disciple,REFINED,REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG,UNPERSUADED,UNPERSUADED|PERSUADED|UNPERSUADED,REFINED
dragon,Dragon,DIVERGENT,DIVERGENT|DIVERGENT|DIVERGENT,PARTIAL,PARTIAL|PARTIAL|STRONG,PERSUADED,UNPERSUADED|PERSUADED|PERSUADED,DIVERGENT_PERSUADED
egypt,Egypt,DIVERGENT,DIVERGENT|DIVERGENT|DIVERGENT,PARTIAL,PARTIAL|PARTIAL|STRONG,PERSUADED,PERSUADED|PERSUADED|PERSUADED,DIVERGENT_PERSUADED
fish-2,"Fish (great fish, sea-monster)",DIVERGENT,REFINED|DIVERGENT|DIVERGENT,PARTIAL,PARTIAL|PARTIAL|PARTIAL,PERSUADED,PERSUADED|PERSUADED|PERSUADED,DIVERGENT_PERSUADED
garden,Garden,DIVERGENT,DIVERGENT|DIVERGENT|DIVERGENT,PARTIAL,PARTIAL|PARTIAL|PARTIAL,PERSUADED,PERSUADED|PERSUADED|PERSUADED,DIVERGENT_PERSUADED
gnashing,Gnashing of teeth,REFINED,REFINED|REFINED|REFINED,STRONG,PARTIAL|STRONG|STRONG,PERSUADED,PERSUADED|PERSUADED|PERSUADED,REFINED
gospel,Gospel,DIVERGENT,REFINED|DIVERGENT|DIVERGENT,PARTIAL,PARTIAL|PARTIAL|PARTIAL,PERSUADED,PERSUADED|PERSUADED|UNPERSUADED,DIVERGENT_PERSUADED
harlot,Harlot,REFINED,REFINED|REFINED|DIVERGENT,PARTIAL,PARTIAL|PARTIAL|PARTIAL,PERSUADED,UNPERSUADED|PERSUADED|PERSUADED,REFINED
heart,Heart of the earth,DIVERGENT,DIVERGENT|DIVERGENT|DIVERGENT,PARTIAL,PARTIAL|PARTIAL|PARTIAL,UNPERSUADED,UNPERSUADED|PERSUADED|UNPERSUADED,DIVERGENT_UNPERSUADED
hell,Hell,REFINED,REFINED|REFINED|REFINED,PARTIAL,PARTIAL|PARTIAL|PARTIAL,PERSUADED,PERSUADED|PERSUADED|PERSUADED,REFINED
life,Life (the life),DIVERGENT,DIVERGENT|DIVERGENT|DIVERGENT,PARTIAL,PARTIAL|PARTIAL|PARTIAL,PERSUADED,UNPERSUADED|PERSUADED|PERSUADED,DIVERGENT_PERSUADED
moon,Moon,DIVERGENT,DIVERGENT|DIVERGENT|DIVERGENT,PARTIAL,PARTIAL|PARTIAL|PARTIAL,PERSUADED,PERSUADED|PERSUADED|PERSUADED,DIVERGENT_PERSUADED
name,Name,DIVERGENT,DIVERGENT|DIVERGENT|REFINED,PARTIAL,PARTIAL|PARTIAL|PARTIAL,UNPERSUADED,UNPERSUADED|PERSUADED|UNPERSUADED,DIVERGENT_UNPERSUADED
new,New name,DIVERGENT,DIVERGENT|DIVERGENT|DIVERGENT,PARTIAL,PARTIAL|PARTIAL|PARTIAL,PERSUADED,PERSUADED|PERSUADED|UNPERSUADED,DIVERGENT_PERSUADED
pearl,Pearl,NOVEL,NOVEL|NOVEL|NOVEL,PARTIAL,PARTIAL|PARTIAL|PARTIAL,UNPERSUADED,UNPERSUADED|PERSUADED|UNPERSUADED,NOVEL
sign,Sign,REFINED,REFINED|REFINED|DIVERGENT,PARTIAL,PARTIAL|PARTIAL|PARTIAL,UNPERSUADED,UNPERSUADED|PERSUADED|UNPERSUADED,REFINED
storm,"Storm, tempest",REFINED,REFINED|DIVERGENT|REFINED,STRONG,STRONG|PARTIAL|STRONG,PERSUADED,PERSUADED|PERSUADED|PERSUADED,REFINED
truth,Truth (the truth),DIVERGENT,DIVERGENT|DIVERGENT|DIVERGENT,PARTIAL,STRONG|PARTIAL|PARTIAL,PERSUADED,PERSUADED|PERSUADED|PERSUADED,DIVERGENT_PERSUADED
valley,Valley,DIVERGENT,DIVERGENT|DIVERGENT|REFINED,PARTIAL,PARTIAL|PARTIAL|PARTIAL,PERSUADED,UNPERSUADED|PERSUADED|PERSUADED,DIVERGENT_PERSUADED
way,Way (the way),DIVERGENT,DIVERGENT|DIVERGENT|DIVERGENT,PARTIAL,STRONG|PARTIAL|PARTIAL,PERSUADED,PERSUADED|PERSUADED|PERSUADED,DIVERGENT_PERSUADED
