id,status,scope,type,severity,file,start_line,end_line,summary,patch_path,preview_path,campaign,original_hash,reviewer_notes,decided_at,applied_at,apply_error
MEAT-0701,pending,localized,opening-scripture-lead-in,medium,books/symbolic-language/audio/01-introduction.adoc,10,10,Replace raw opening citation with a spoken lead-in in Introduction.,books/symbolic-language/editorial-review/2026-07-11-phase-7-audio-quote-punctuation-audit/patches/MEAT-0701.diff,books/symbolic-language/editorial-review/2026-07-11-phase-7-audio-quote-punctuation-audit/previews/MEAT-0701.md,P7-C001,f4c537b9f47af02b,,,,
MEAT-0702,pending,localized,opening-scripture-lead-in,medium,books/symbolic-language/audio/02-the-parables-of-the-kingdom.adoc,10,10,Replace raw opening citation with a spoken lead-in in Parables.,books/symbolic-language/editorial-review/2026-07-11-phase-7-audio-quote-punctuation-audit/patches/MEAT-0702.diff,books/symbolic-language/editorial-review/2026-07-11-phase-7-audio-quote-punctuation-audit/previews/MEAT-0702.md,P7-C001,43f97db4b15911a1,,,,
MEAT-0703,pending,localized,opening-scripture-lead-in,medium,books/symbolic-language/audio/03-signs-and-similitudes.adoc,10,10,Replace raw opening citation with a spoken lead-in in Signs and Similitudes.,books/symbolic-language/editorial-review/2026-07-11-phase-7-audio-quote-punctuation-audit/patches/MEAT-0703.diff,books/symbolic-language/editorial-review/2026-07-11-phase-7-audio-quote-punctuation-audit/previews/MEAT-0703.md,P7-C001,45fbc21d606cb8e4,,,,
MEAT-0704,pending,localized,opening-scripture-lead-in,medium,books/symbolic-language/audio/04-sign-of-jonah.adoc,10,10,Replace raw opening citation with a spoken lead-in in Sign of Jonah.,books/symbolic-language/editorial-review/2026-07-11-phase-7-audio-quote-punctuation-audit/patches/MEAT-0704.diff,books/symbolic-language/editorial-review/2026-07-11-phase-7-audio-quote-punctuation-audit/previews/MEAT-0704.md,P7-C001,3a9a005a2e25523d,,,,
MEAT-0705,pending,localized,opening-scripture-lead-in,medium,books/symbolic-language/audio/05-gospel.adoc,10,10,Replace raw opening citation with a spoken lead-in in Gospel.,books/symbolic-language/editorial-review/2026-07-11-phase-7-audio-quote-punctuation-audit/patches/MEAT-0705.diff,books/symbolic-language/editorial-review/2026-07-11-phase-7-audio-quote-punctuation-audit/previews/MEAT-0705.md,P7-C001,0dfbad6588bb5968,,,,
MEAT-0706,pending,localized,opening-scripture-lead-in,medium,books/symbolic-language/audio/06-knowing-faith-love-and-belief.adoc,10,10,Replace raw opening citation with a spoken lead-in in Love/Knowing/Faith/Belief.,books/symbolic-language/editorial-review/2026-07-11-phase-7-audio-quote-punctuation-audit/patches/MEAT-0706.diff,books/symbolic-language/editorial-review/2026-07-11-phase-7-audio-quote-punctuation-audit/previews/MEAT-0706.md,P7-C001,9a8b92e7540a8e29,,,,
MEAT-0707,pending,localized,opening-scripture-lead-in,medium,books/symbolic-language/audio/07-the-way-the-truth-and-the-life.adoc,10,10,Replace raw opening citation with a spoken lead-in in Way/Truth/Life.,books/symbolic-language/editorial-review/2026-07-11-phase-7-audio-quote-punctuation-audit/patches/MEAT-0707.diff,books/symbolic-language/editorial-review/2026-07-11-phase-7-audio-quote-punctuation-audit/previews/MEAT-0707.md,P7-C001,4afd41d509aa2034,,,,
MEAT-0708,pending,localized,opening-scripture-lead-in,medium,books/symbolic-language/audio/08-the-name.adoc,10,10,Replace raw opening citation with a spoken lead-in in The Name.,books/symbolic-language/editorial-review/2026-07-11-phase-7-audio-quote-punctuation-audit/patches/MEAT-0708.diff,books/symbolic-language/editorial-review/2026-07-11-phase-7-audio-quote-punctuation-audit/previews/MEAT-0708.md,P7-C001,72051a6fc945afdd,,,,
MEAT-0709,pending,localized,opening-scripture-lead-in,medium,books/symbolic-language/audio/09-the-disciple.adoc,10,10,Replace raw opening citation with a spoken lead-in in The Disciple.,books/symbolic-language/editorial-review/2026-07-11-phase-7-audio-quote-punctuation-audit/patches/MEAT-0709.diff,books/symbolic-language/editorial-review/2026-07-11-phase-7-audio-quote-punctuation-audit/previews/MEAT-0709.md,P7-C001,21cfd9dc8839f729,,,,
MEAT-0710,pending,localized,opening-scripture-lead-in,medium,books/symbolic-language/audio/12-marriage-and-divorce.adoc,10,10,Replace raw opening citation with a spoken lead-in in Marriage and Divorce.,books/symbolic-language/editorial-review/2026-07-11-phase-7-audio-quote-punctuation-audit/patches/MEAT-0710.diff,books/symbolic-language/editorial-review/2026-07-11-phase-7-audio-quote-punctuation-audit/previews/MEAT-0710.md,P7-C001,83ee120f634e8e99,,,,
MEAT-0711,pending,localized,opening-scripture-lead-in,medium,books/symbolic-language/audio/15-the-remnant.adoc,10,10,Replace raw opening citation with a spoken lead-in in The Remnant.,books/symbolic-language/editorial-review/2026-07-11-phase-7-audio-quote-punctuation-audit/patches/MEAT-0711.diff,books/symbolic-language/editorial-review/2026-07-11-phase-7-audio-quote-punctuation-audit/previews/MEAT-0711.md,P7-C001,52b18bfb959ae04a,,,,
MEAT-0712,pending,localized,opening-scripture-lead-in,medium,books/symbolic-language/audio/16-heaven-and-hell.adoc,10,10,Replace raw opening citation with a spoken lead-in in Heaven and Hell.,books/symbolic-language/editorial-review/2026-07-11-phase-7-audio-quote-punctuation-audit/patches/MEAT-0712.diff,books/symbolic-language/editorial-review/2026-07-11-phase-7-audio-quote-punctuation-audit/previews/MEAT-0712.md,P7-C001,eac2bffbb7c033e2,,,,
MEAT-0713,pending,localized,scripture-lead-in,medium,books/symbolic-language/audio/02-the-parables-of-the-kingdom.adoc,114,116,Add a spoken lead-in before the second Hosea quotation.,books/symbolic-language/editorial-review/2026-07-11-phase-7-audio-quote-punctuation-audit/patches/MEAT-0713.diff,books/symbolic-language/editorial-review/2026-07-11-phase-7-audio-quote-punctuation-audit/previews/MEAT-0713.md,P7-C001,4de450670b150b1a,,,,
MEAT-0714,pending,localized,scripture-lead-in,medium,books/symbolic-language/audio/02-the-parables-of-the-kingdom.adoc,262,266,Add a spoken lead-in before the mustard-seed block quote.,books/symbolic-language/editorial-review/2026-07-11-phase-7-audio-quote-punctuation-audit/patches/MEAT-0714.diff,books/symbolic-language/editorial-review/2026-07-11-phase-7-audio-quote-punctuation-audit/previews/MEAT-0714.md,P7-C001,bd409e9bd8574f43,,,,
MEAT-0715,pending,localized,scripture-lead-in,medium,books/symbolic-language/audio/02-the-parables-of-the-kingdom.adoc,344,348,Add a spoken lead-in before the treasure block quote.,books/symbolic-language/editorial-review/2026-07-11-phase-7-audio-quote-punctuation-audit/patches/MEAT-0715.diff,books/symbolic-language/editorial-review/2026-07-11-phase-7-audio-quote-punctuation-audit/previews/MEAT-0715.md,P7-C001,e9e5c12ce14ca7ef,,,,
MEAT-0716,pending,localized,scripture-lead-in,medium,books/symbolic-language/audio/02-the-parables-of-the-kingdom.adoc,388,392,Add a spoken lead-in before the pearl block quote.,books/symbolic-language/editorial-review/2026-07-11-phase-7-audio-quote-punctuation-audit/patches/MEAT-0716.diff,books/symbolic-language/editorial-review/2026-07-11-phase-7-audio-quote-punctuation-audit/previews/MEAT-0716.md,P7-C001,92bfe1c8ccc3df27,,,,
