issue_id,file,start_line,end_line,chars,sentences,lines,excerpt
MEAT-0117,books/symbolic-language/34-the-fall-of-babylon.adoc,68,78,1989,12,11,"The similitude has a third act, and it was in Moses' hand from the beginning. __“Put forth thine hand, and take it by the *tail*. And he put forth his hand, and caught it, and it became a *rod* in his hand”__ (Exodus 4:4). Every word is..."
MEAT-0118,books/symbolic-language/31-the-sabbath.adoc,113,117,1533,5,5,"There is one reckoning in which nothing breaks. If the month itself is built of four sevens — the sabbaths standing on its eighth, fifteenth, twenty-second, and twenty-ninth days, with the renewed-moon day standing outside the sevens as..."
MEAT-0119,books/symbolic-language/35-daniel-unsealed.adoc,67,73,1519,7,7,"The plural ending makes the seven at least double — and a complete cycle of sevens, seven sevens, is the jubilee. Jeremiah's unit was already compared to a year, and a year is itself a complete cycle of time; so the letters give us seven..."
MEAT-0120,books/symbolic-language/32-time-tested-tradition.adoc,42,49,1426,8,8,"When that testimony is put on the stand, weigh what it actually brings. Its witnesses are dated, nearly to a man, *after the fall of the temple*: the Mishnah was compiled around AD 200, the Talmuds centuries later still, and the fixed, c..."
MEAT-0121,books/symbolic-language/32-time-tested-tradition.adoc,35,40,1423,6,6,"He said it to the very leadership whose successors fixed the calendar now defended; He warned His disciples to __“beware of the leaven of the Pharisees”__ — which, Matthew explains, __“is their *doctrine*”__ (Matthew 16:6, 12); Mark reco..."
MEAT-0122,books/symbolic-language/06-knowing-faith-love-and-belief.adoc,205,212,1422,8,8,"The four words converge, then, on one act — and keep four distinct offices. *Love* is not a reason to obey; it is the keeping itself: __“this is the love of God, that we keep his commandments”__ (1 John 5:3). *Faith* keeps them in hope o..."
MEAT-0123,books/symbolic-language/08-the-name.adoc,201,203,1280,3,3,"__“Temptation”__ translates a Greek word that means the _proving_, and James rules out the modern reading in one stroke: __“God cannot be tempted with evil, *neither tempteth he any man*”__ (James 1:13) — yet the same James calls the man..."
MEAT-0124,books/symbolic-language/08-the-name.adoc,261,265,1255,5,5,"To be __“called by thy name”__ is to be sym:sym-marriage[married] — that is the whole request — and the women’s bargain proves it: the law obliges a husband to supply his wife’s __“food, her raiment, and her duty of marriage”__ (Exodus 2..."
MEAT-0125,books/symbolic-language/15-heaven-and-hell.adoc,173,179,1241,6,7,"The grave surrenders its dead; then the grave itself — with death, its rider (Revelation 6:8) — goes into the fire and is destroyed. The text supplies its own label for the fate of the lost, and the label is not __“the second torment.”__..."
MEAT-0126,books/symbolic-language/34-the-fall-of-babylon.adoc,80,86,1232,7,7,"The rod that comes back is not bare wood. Set overnight before the testimony, __“the rod of Aaron for the house of Levi was budded, and brought forth buds, and bloomed blossoms, and yielded *almonds*”__ (Numbers 17:8) — the dead stick al..."
MEAT-0127,books/symbolic-language/37-the-moment.adoc,131,138,1220,8,8,"Return, then, to the queen who claimed she would never be a widow. The moment is not a separate judgment laid on top of Babylon’s fall; it is that judgment’s own timer. The wife of the covenant is warned, pleaded with, given generation a..."
MEAT-0128,books/symbolic-language/15-heaven-and-hell.adoc,64,68,1214,5,5,"The city descends, and the tabernacle — heaven's authority touching earth at one curtained point in the wilderness — becomes the whole order: God dwelling with men, on a renewed earth, under renewed heavens. And __“new”__ is the word thi..."
MEAT-0129,books/symbolic-language/47-the-other-white-meat.adoc,57,64,1190,11,8,"The Hebrew Matthewfootnote:fn46hg[The Hebrew Matthew cited throughout this book is the Shem Tov text, preserved complete in Ibn Shaprut's _Even Bochan_ (c. 1385). The full text, alongside the book's other Hebrew witnesses, is at https://..."
MEAT-0130,books/symbolic-language/30-the-pearl.adoc,141,144,1137,4,4,"Wisdom's poem reads the same way, line by line. __“She is a tree of life to them that lay hold upon her: and blessed is every one that holdeth her fast”__ (3:18) — the holding-verb is _tamak_, the verb of the palms holding the circuit, a..."
MEAT-0131,books/symbolic-language/47-the-other-white-meat.adoc,26,31,1136,7,6,"Moses' _because_ is the definition: the visible sign is not merely insufficient — worn without the substance, it is the ground of the indictment. The swine appears to walk the walk — the hoof is the look of obedience, not the life of it..."
MEAT-0132,books/symbolic-language/06-knowing-faith-love-and-belief.adoc,181,186,1130,6,6,"Evidence is a thing produced and examined — faith is the *seen* member of the pair, and the unseen is proved by it. Scripture keeps the pattern consistently: hope's object is unseen by definition — __“hope that is *seen* is not hope… but..."
MEAT-0133,books/symbolic-language/37-the-moment.adoc,112,116,1127,5,5,"What changes hands in that moment is not what the devil was holding. The trumpet that raises the dead __“*in a moment*, in the twinkling of an eye, at the *last trump*”__ (1 Corinthians 15:52) is the seventh, at which __“The kingdoms of..."
MEAT-0134,books/symbolic-language/17-justice-and-judgment.adoc,113,118,1107,6,6,"English has drifted on this word in one more direction, and testing it recovers a whole office. To the modern ear a judge only sentences; in Scripture, to judge is to _rule_. The book of Judges is not a book of magistrates: __“the LORD r..."
MEAT-0135,books/symbolic-language/03-signs-and-similitudes.adoc,125,129,1095,5,5,"The New Testament ratifies the method instance after instance, in so many words. The manna was a similitude of __“the true sym:sym-bread[bread] from heaven”__ (John 6:32) — and the feeding of the five thousand that opens that discourse i..."
MEAT-0136,books/symbolic-language/34-the-fall-of-babylon.adoc,144,149,1092,6,6,"Jesus put this very sign into His disciples' mouths, twice. __“Whosoever shall *say unto this mountain*, Be thou removed, and be thou *cast into the sea*; and shall not doubt in his heart… he shall have whatsoever he saith”__ (Mark 11:23..."
,books/symbolic-language/25-spoken-once-heard-twice.adoc,96,101,1078,6,6,"The woman herself is spoken once and heard at every depth. In the garden she is Eve; but Scripture will not leave her one woman. Isaiah watches the same mother travail: __“before her pain came, she was delivered of a *man child*… for as..."
,books/symbolic-language/04-sign-of-jonah.adoc,118,124,1075,5,7,"Jonah confesses his identity plainly: __“I am an Hebrew; and I sym:sym-fear[fear] the LORD, the God of heaven, which hath made the sym:sym-sea[sea] and the dry land”__ (Jonah 1:9) — and at the confession his judges grow frightened: __“Th..."
,books/symbolic-language/17-justice-and-judgment.adoc,108,111,1061,4,4,"Isaiah had said the Messiah would come for precisely this, in parallel columns that seal the word’s meaning: __“he shall bring forth *judgment* to the Gentiles… till he have set *judgment* in the earth: and the sym:sym-island[isles] shal..."
,books/symbolic-language/14-the-remnant.adoc,118,124,1058,7,7,"The land itself sets the upper bound. Those in the first resurrection are bodily kings and priests who reign with Christ a thousand years (Revelation 20:4-6) — on the promised land, whose borders were drawn in advance (Genesis 15:18) and..."
,books/symbolic-language/14-the-remnant.adoc,261,264,1054,3,4,"One line of evidence has been on the map the whole time. The covenant is not an abstraction; it is a deed of real estate with drawn borders — __“Unto thy seed have I given this land, from the river of Egypt unto the great river, the rive..."
