id,status,scope,type,severity,file,start_line,end_line,summary,patch_path,preview_path,campaign,original_hash,reviewer_notes,decided_at,applied_at,apply_error
MEAT-9001,accepted,localized,clarity,medium,books/symbolic-language/00-how-to-use.adoc,17,17,Replace the vague pronoun with its clear antecedent.,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/patches/MEAT-9001.diff,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/previews/MEAT-9001.md,P9-C001,637e6d28ceed9a7e,,2026-07-11T20:09:40+00:00,,
MEAT-9002,accepted,localized,tone-register,medium,books/symbolic-language/00-how-to-use.adoc,21,21,Restore first-person voice for the author's own editorial step.,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/patches/MEAT-9002.diff,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/previews/MEAT-9002.md,P9-C001,2b9a26faae84e4c9,,2026-07-11T20:09:51+00:00,,
MEAT-9003,accepted,localized,grammar,low,books/symbolic-language/00-how-to-use.adoc,27,27,Match number with the following sentence.,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/patches/MEAT-9003.diff,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/previews/MEAT-9003.md,P9-C001,f556d601923acf91,,2026-07-11T20:10:02+00:00,,
MEAT-9004,pending,localized,grammar,high,books/symbolic-language/01-introduction.adoc,22,22,Restore the missing relative pronoun and remove the sentence-opening That.,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/patches/MEAT-9004.diff,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/previews/MEAT-9004.md,P9-C001,8f760b6b3a4f1186,"agree with the dirrection of the change, but the patch looks corrupt so need AI review",2026-07-11T20:11:09+00:00,,
MEAT-9005,accepted,localized,sentence-open,high,books/symbolic-language/01-introduction.adoc,38,38,Remove sentence-opening And in author prose.,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/patches/MEAT-9005.diff,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/previews/MEAT-9005.md,P9-C001,b2b3c404dceabbf8,,2026-07-11T20:11:30+00:00,,
MEAT-9006,accepted,localized,sentence-open,high,books/symbolic-language/01-introduction.adoc,60,60,Remove sentence-opening And in author prose.,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/patches/MEAT-9006.diff,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/previews/MEAT-9006.md,P9-C001,bfc54532e232a378,,2026-07-11T20:11:42+00:00,,
MEAT-9007,pending,localized,sentence-open,high,books/symbolic-language/01-introduction.adoc,132,132,Remove sentence-opening That in author prose.,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/patches/MEAT-9007.diff,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/previews/MEAT-9007.md,P9-C001,cb08eecf95915c83,"I mostly want proper grammar, this and that are the same kind of word.",2026-07-11T20:12:39+00:00,,
MEAT-9008,needs-rewrite,localized,factual,high,books/symbolic-language/01-introduction.adoc,128,128,Align the symbol key with its displayed label.,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/patches/MEAT-9008.diff,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/previews/MEAT-9008.md,P9-C001,e539d14debbc80ae,"agree the fix is need, the patch appears broken",2026-07-11T20:20:02+00:00,,
MEAT-9009,accepted,localized,bad-metaphor,medium,books/symbolic-language/01-introduction.adoc,40,40,Replace the physically wrong verb “churn” for milk-to-meat.,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/patches/MEAT-9009.diff,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/previews/MEAT-9009.md,P9-C001,1a22cbd690470f22,"accept the premise, but the detal red/green text appears corrupt",2026-07-11T20:19:47+00:00,,
MEAT-9010,accepted,localized,clarity,medium,books/symbolic-language/01-introduction.adoc,115,115,Correct the implication that the Greek itself was a translation layer.,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/patches/MEAT-9010.diff,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/previews/MEAT-9010.md,P9-C001,5c48c8823a1e577b,,2026-07-11T20:14:11+00:00,,
MEAT-9011,rejected,localized,sentence-open,high,books/symbolic-language/01-introduction.adoc,148,148,Remove forbidden And sentence open.,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/patches/MEAT-9011.diff,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/previews/MEAT-9011.md,P9-C001,1fb27fb3fbb1c6ef,,2026-07-11T20:14:35+00:00,,
MEAT-9012,accepted,localized,sentence-open,high,books/symbolic-language/01-introduction.adoc,163,163,Remove forbidden And sentence open.,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/patches/MEAT-9012.diff,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/previews/MEAT-9012.md,P9-C001,e19c6d3f9810a253,,2026-07-11T20:14:39+00:00,,
MEAT-9013,accepted,localized,ai-sounding-staging,high,books/symbolic-language/01-introduction.adoc,173,173,Cut director cue 'mark that'.,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/patches/MEAT-9013.diff,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/previews/MEAT-9013.md,P9-C001,7fdd06e4fd5ddca7,,2026-07-11T20:15:11+00:00,,
MEAT-9014,accepted,localized,sentence-open,high,books/symbolic-language/01-introduction.adoc,219,219,Remove forbidden But sentence open.,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/patches/MEAT-9014.diff,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/previews/MEAT-9014.md,P9-C001,6433c3d5fed4386b,,2026-07-11T20:15:28+00:00,,
MEAT-9015,accepted,localized,sentence-open,high,books/symbolic-language/01-introduction.adoc,246,246,Remove forbidden That sentence open.,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/patches/MEAT-9015.diff,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/previews/MEAT-9015.md,P9-C001,3b1eaee1f6fc0607,,2026-07-11T20:15:35+00:00,,
MEAT-9016,accepted,localized,ai-sounding-staging,high,books/symbolic-language/01-introduction.adoc,257,257,Cut director cue 'Watch'.,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/patches/MEAT-9016.diff,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/previews/MEAT-9016.md,P9-C001,7e5ec45e204a8ccd,,2026-07-11T20:15:43+00:00,,
MEAT-9017,rejected,localized,ai-sounding-staging,high,books/symbolic-language/02-the-parables-of-the-kingdom.adoc,16,17,Remove banned director cue.,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/patches/MEAT-9017.diff,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/previews/MEAT-9017.md,P9-C001,c986e893c21e9398,,2026-07-11T20:16:05+00:00,,
MEAT-9018,accepted,localized,sentence-open,medium,books/symbolic-language/02-the-parables-of-the-kingdom.adoc,21,21,Drop leading And.,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/patches/MEAT-9018.diff,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/previews/MEAT-9018.md,P9-C001,8c18ad69e03eb026,,2026-07-11T20:16:13+00:00,,
MEAT-9019,accepted,localized,sentence-open,medium,books/symbolic-language/02-the-parables-of-the-kingdom.adoc,29,29,Rewrite to avoid leading That.,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/patches/MEAT-9019.diff,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/previews/MEAT-9019.md,P9-C001,e94bd95de092d8a6,,2026-07-11T20:16:28+00:00,,
MEAT-9020,accepted,localized,ai-sounding-staging,medium,books/symbolic-language/02-the-parables-of-the-kingdom.adoc,39,39,Replace weigh staging verb.,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/patches/MEAT-9020.diff,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/previews/MEAT-9020.md,P9-C001,276e9781abb826d2,,2026-07-11T20:16:46+00:00,,
MEAT-9021,accepted,localized,sentence-open,medium,books/symbolic-language/02-the-parables-of-the-kingdom.adoc,41,41,Change leading That to This.,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/patches/MEAT-9021.diff,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/previews/MEAT-9021.md,P9-C001,577293dc3e948717,,2026-07-11T20:17:00+00:00,,
MEAT-9022,accepted,localized,sentence-open,medium,books/symbolic-language/02-the-parables-of-the-kingdom.adoc,70,70,Remove And and That openers.,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/patches/MEAT-9022.diff,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/previews/MEAT-9022.md,P9-C001,48ddd601fe6662c8,,2026-07-11T20:17:10+00:00,,
MEAT-9023,accepted,localized,sentence-open,medium,books/symbolic-language/02-the-parables-of-the-kingdom.adoc,119,119,Drop leading And.,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/patches/MEAT-9023.diff,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/previews/MEAT-9023.md,P9-C001,cd5f815c8ac54f20,,2026-07-11T20:17:22+00:00,,
MEAT-9024,accepted,localized,ai-sounding-staging,medium,books/symbolic-language/02-the-parables-of-the-kingdom.adoc,189,189,Replace director command with direct assertion of the derivation.,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/patches/MEAT-9024.diff,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/previews/MEAT-9024.md,P9-C001,692bd2c7d9acdc90,,2026-07-11T20:17:30+00:00,,
MEAT-9025,accepted,localized,sentence-open,high,books/symbolic-language/02-the-parables-of-the-kingdom.adoc,206,206,Remove leading And from author prose.,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/patches/MEAT-9025.diff,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/previews/MEAT-9025.md,P9-C001,d5702efa1d62890f,,2026-07-11T20:17:32+00:00,,
MEAT-9026,accepted,localized,sentence-open,high,books/symbolic-language/02-the-parables-of-the-kingdom.adoc,222,222,Remove leading But and the carry-with-you cue.,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/patches/MEAT-9026.diff,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/previews/MEAT-9026.md,P9-C001,461e36c0454af9cf,,2026-07-11T20:17:44+00:00,,
MEAT-9027,accepted,localized,sentence-open,high,books/symbolic-language/02-the-parables-of-the-kingdom.adoc,253,253,Remove leading And from author prose.,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/patches/MEAT-9027.diff,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/previews/MEAT-9027.md,P9-C001,bd43e7bf63786d45,,2026-07-11T20:17:46+00:00,,
MEAT-9028,accepted,localized,sentence-open,high,books/symbolic-language/02-the-parables-of-the-kingdom.adoc,261,261,Remove leading And from author prose.,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/patches/MEAT-9028.diff,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/previews/MEAT-9028.md,P9-C001,07ba6f2e3e84af02,,2026-07-11T20:17:55+00:00,,
MEAT-9029,accepted,localized,sentence-open,high,books/symbolic-language/02-the-parables-of-the-kingdom.adoc,285,285,Remove leading And from author prose.,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/patches/MEAT-9029.diff,books/symbolic-language/editorial-review/2026-07-11-phase-9-grok-full-book/previews/MEAT-9029.md,P9-C001,087821bca0784d4b,,2026-07-11T20:18:03+00:00,,
