anchor,term,relation,relationship_votes,citation_support,citation_support_votes,persuasion,persuasion_votes,final_verdict
assembly,Assembly of the wicked / synagogue of Satan,DISPUTED,MATCH|REFINED|MATCH|REFINED,STRONG,STRONG|PARTIAL|STRONG|STRONG,PERSUADED,PERSUADED|PERSUADED|PERSUADED|PERSUADED,DISPUTED
bramble,"Bramble (thorns, thistles, briers)",DISPUTED,MATCH|REFINED|MATCH|REFINED,STRONG,STRONG|STRONG|STRONG|STRONG,PERSUADED,PERSUADED|PERSUADED|PERSUADED|PERSUADED,DISPUTED
east,East,DISPUTED,REFINED|MATCH|REFINED|MATCH,STRONG,PARTIAL|STRONG|STRONG|STRONG,PERSUADED,PERSUADED|PERSUADED|PERSUADED|PERSUADED,DISPUTED
elders,Elders,DISPUTED,DIVERGENT|REFINED|DIVERGENT|NOVEL,PARTIAL,PARTIAL|PARTIAL|PARTIAL|PARTIAL,PERSUADED,UNPERSUADED|PERSUADED|PERSUADED|PERSUADED,DISPUTED
ephraim,Ephraim,DISPUTED,REFINED|REFINED|DIVERGENT|DIVERGENT,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,PERSUADED,PERSUADED|PERSUADED|PERSUADED|PERSUADED,DISPUTED
eye,Eye,DISPUTED,MATCH|REFINED|MATCH|REFINED,DISPUTED,PARTIAL|PARTIAL|STRONG|STRONG,PERSUADED,PERSUADED|PERSUADED|PERSUADED|PERSUADED,DISPUTED
fool,Fool,DISPUTED,MATCH|REFINED|MATCH|REFINED,STRONG,STRONG|STRONG|STRONG|PARTIAL,PERSUADED,PERSUADED|PERSUADED|PERSUADED|PERSUADED,DISPUTED
gnashing,Gnashing of teeth,DISPUTED,REFINED|DIVERGENT|DIVERGENT|REFINED,STRONG,STRONG|STRONG|STRONG|STRONG,PERSUADED,PERSUADED|PERSUADED|PERSUADED|PERSUADED,DISPUTED
lost,Lost sheep,DISPUTED,MATCH|REFINED|MATCH|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,DISPUTED,PERSUADED|PERSUADED|UNPERSUADED|UNPERSUADED,DISPUTED
name,Name,DISPUTED,REFINED|REFINED|DIVERGENT|NOVEL,PARTIAL,PARTIAL|PARTIAL|PARTIAL|PARTIAL,PERSUADED,UNPERSUADED|PERSUADED|PERSUADED|PERSUADED,DISPUTED
night,Night,DISPUTED,MATCH|REFINED|MATCH|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,PERSUADED,PERSUADED|PERSUADED|PERSUADED|PERSUADED,DISPUTED
nineveh,Nineveh,DISPUTED,REFINED|MATCH|REFINED|MATCH,STRONG,PARTIAL|STRONG|STRONG|STRONG,PERSUADED,PERSUADED|PERSUADED|PERSUADED|PERSUADED,DISPUTED
scarlet,Scarlet,DISPUTED,DIVERGENT|REFINED|DIVERGENT|REFINED,PARTIAL,PARTIAL|PARTIAL|PARTIAL|PARTIAL,UNPERSUADED,UNPERSUADED|PERSUADED|UNPERSUADED|UNPERSUADED,DISPUTED
seed,Seed,DISPUTED,REFINED|MATCH|MATCH|REFINED,STRONG,STRONG|STRONG|STRONG|STRONG,PERSUADED,PERSUADED|PERSUADED|PERSUADED|PERSUADED,DISPUTED
shadow-of-death,Shadow of Death,DISPUTED,REFINED|REFINED|DIVERGENT|NOVEL,PARTIAL,PARTIAL|PARTIAL|INSUFFICIENT|PARTIAL,UNPERSUADED,UNPERSUADED|PERSUADED|UNPERSUADED|UNPERSUADED,DISPUTED
sin,Sin,DISPUTED,REFINED|REFINED|MATCH|MATCH,STRONG,STRONG|STRONG|STRONG|STRONG,PERSUADED,PERSUADED|PERSUADED|PERSUADED|PERSUADED,DISPUTED
stars,Stars,DISPUTED,DIVERGENT|REFINED|REFINED|DIVERGENT,DISPUTED,PARTIAL|PARTIAL|STRONG|STRONG,PERSUADED,PERSUADED|PERSUADED|PERSUADED|PERSUADED,DISPUTED
storm,"Storm, tempest",DISPUTED,REFINED|DIVERGENT|DIVERGENT|REFINED,STRONG,STRONG|STRONG|STRONG|STRONG,PERSUADED,PERSUADED|PERSUADED|PERSUADED|PERSUADED,DISPUTED
tail,Tail,DISPUTED,REFINED|MATCH|MATCH|REFINED,STRONG,PARTIAL|STRONG|STRONG|STRONG,PERSUADED,PERSUADED|PERSUADED|PERSUADED|PERSUADED,DISPUTED
voice,Voice,DISPUTED,REFINED|MATCH|MATCH|REFINED,PARTIAL,PARTIAL|PARTIAL|STRONG|PARTIAL,PERSUADED,PERSUADED|PERSUADED|PERSUADED|PERSUADED,DISPUTED
wall,Wall,DISPUTED,REFINED|MATCH|MATCH|REFINED,STRONG,STRONG|STRONG|STRONG|STRONG,PERSUADED,PERSUADED|PERSUADED|PERSUADED|PERSUADED,DISPUTED
